Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Laccaria bicolor S238N-H82,259613,Inf,2,0,259299,0,Inf,Absent,Absent,None,Laccaria
Lacerta agilis,Inf,3190,1,0,Inf,2,11517,Absent,Present,PWWP,Lacerta
Lachancea dasiensis,233992,23471,1,0,Inf,0,438864,Absent,Absent,None,Lachancea
Lachancea fermentati,16991,128972,1,0,Inf,0,587579,Absent,Absent,None,Lachancea
Lachancea lanzarotensis,Inf,66472,2,0,Inf,0,627811,Absent,Absent,None,Lachancea
Lachancea mirantina,48049,25104,1,0,51006,0,24274,Absent,Absent,None,Lachancea
Lachancea nothofagi CBS 11611,29066,121248,1,0,Inf,0,Inf,Absent,Absent,None,Lachancea
Lachancea quebecensis,96118,113525,1,0,Inf,0,Inf,Absent,Absent,None,Lachancea
Lachancea thermotolerans CBS 6340,92281,112910,2,0,430563,0,714503,Absent,Absent,None,Lachancea
Lachnellula arida,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lachnellula
Lachnellula cervina,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lachnellula
Lachnellula hyalina,Inf,9890,2,0,Inf,0,Inf,Absent,Absent,None,Lachnellula
Lachnellula occidentalis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lachnellula
Lachnellula suecica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lachnellula
Lachnellula willkommii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lachnellula
Lactarius akahatsu,Inf,664027,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius deliciosus,Inf,107035,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius indigo,Inf,205829,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius psammicola,Inf,23916,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius pseudohatsudake,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius quietus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius sanguifluus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactarius vividus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lactarius
Lactifluus subvellereus,123619,241912,1,0,122415,0,Inf,Absent,Absent,None,Lactifluus
Lactifluus volemus,Inf,484588,1,0,Inf,0,Inf,Absent,Absent,None,Lactifluus
Lactuca saligna,168710,8161334,2,0,23368020,0,20504529,Absent,Absent,None,Lactuca
Lactuca virosa,874,9202822,3,6,0,0,Inf,Present,Absent,Tudor,Lactuca
Ladona fulva,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ladona
Laetiporus sulphureus 93-53,76545,61031,2,0,Inf,0,65016,Absent,Absent,None,Laetiporus
Lagenidium giganteum,Inf,50767,2,0,Inf,0,Inf,Absent,Absent,None,Lagenidium
Lagopus leucura,8027219,3358,2,0,8116162,4,0,Absent,Present,PWWP,Lagopus
Lagopus muta,8025344,3356,2,0,8113524,4,0,Absent,Present,PWWP,Lagopus
Lambiella insularis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lambiella
Lamellibrachia satsuma,Inf,9063,2,0,Inf,2,3290,Absent,Present,PWWP,Lamellibrachia
Lamprigera yunnana,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lamprigera
Lampris incognitus,Inf,1100,1,0,Inf,2,9505,Absent,Present,PWWP,Lampris
Lamprotornis superbus,Inf,4095,1,0,Inf,2,73445,Absent,Present,PWWP,Lamprotornis
Lanius ludovicianus,Inf,4167,1,0,Inf,2,21,Absent,Present,PWWP,Lanius
Lanmaoa asiatica,533293,79876,1,0,Inf,0,447739,Absent,Absent,None,Lanmaoa
Laodelphax striatellus,Inf,1852037,1,0,Inf,0,1846739,Absent,Absent,None,Laodelphax
Larimichthys crocea,8251227,853,2,0,13994899,4,0,Absent,Present,PWWP,Larimichthys
Larus smithsonianus,Inf,167161,1,0,Inf,0,Inf,Absent,Absent,None,Larus
Lasallia pustulata,255389,370109,2,0,Inf,0,Inf,Absent,Absent,None,Lasallia
Lasiodiplodia hormozganensis,228318,131977,1,0,Inf,0,Inf,Absent,Absent,None,Lasiodiplodia
Lasiodiplodia theobromae,214168,40141,4,0,3234192,0,60807,Absent,Absent,None,Lasiodiplodia
Lasiosphaeria miniovina,69087,80088,3,0,Inf,0,897627,Absent,Absent,None,Lasiosphaeria
Lasiosphaeris hirsuta,237468,271865,1,0,1218206,0,2366754,Absent,Absent,None,Lasiosphaeris
Lasius niger,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Lasius
Lates calcarifer,159683,899,1,0,Inf,2,1416,Absent,Present,PWWP,Lates
Latimeria chalumnae,Inf,6681,1,0,Inf,2,17629,Absent,Present,PWWP,Latimeria
Lecanicillium fungicola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lecanicillium
Lecanicillium saksenae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lecanicillium
Leguminivora glycinivorella,Inf,12671361,1,0,Inf,0,Inf,Absent,Absent,None,Leguminivora
Leiothrix lutea,Inf,4159,1,0,Inf,2,21,Absent,Present,PWWP,Leiothrix
Leishmania braziliensis,334741,113123,1,0,Inf,0,Inf,Absent,Absent,None,Leishmania
Leishmania braziliensis MHOM/BR/75/M2904,302711,113155,2,0,Inf,0,Inf,Absent,Absent,None,Leishmania
Leishmania donovani,245778,16095,6,0,687817,0,400332,Absent,Absent,None,Leishmania
Leishmania enriettii,Inf,65496,1,0,Inf,0,1843787,Absent,Absent,None,Leishmania
Leishmania infantum,250806,29582,1,0,717259,0,425977,Absent,Absent,None,Leishmania
Leishmania infantum JPCM5,243561,29584,2,0,684294,0,400260,Absent,Absent,None,Leishmania
Leishmania major strain Friedlin,Inf,41383,3,0,Inf,0,399457,Absent,Absent,None,Leishmania
Leishmania martiniquensis,Inf,755506,1,0,Inf,0,Inf,Absent,Absent,None,Leishmania
Leishmania mexicana MHOM/GT/2001/U1103,180724,1012557,2,0,Inf,0,1792472,Absent,Absent,None,Leishmania
Leishmania orientalis,207469,66359,1,0,Inf,0,653549,Absent,Absent,None,Leishmania
Leishmania panamensis,335572,112692,2,0,Inf,0,Inf,Absent,Absent,None,Leishmania
Leishmania sp. Ghana 2012 LV757,Inf,111787,1,0,Inf,0,673556,Absent,Absent,None,Leishmania
Leishmania sp. Namibia,291491,66406,1,0,Inf,0,1828494,Absent,Absent,None,Leishmania
Leishmania tarentolae,Inf,220568,1,0,Inf,0,503710,Absent,Absent,None,Leishmania
Lemur catta,Inf,4295,2,0,Inf,4,0,Absent,Present,PWWP,Lemur
Lentinula aciculospora,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lentinula
Lentinula aff. detonsa,17988,Inf,2,0,16861,0,Inf,Absent,Absent,None,Lentinula
Lentinula aff. lateritia,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lentinula
Lentinula detonsa,288033,172395,2,0,1748266,0,2315558,Absent,Absent,None,Lentinula
Lentinula edodes,2434422,53991,6,0,Inf,0,669339,Absent,Absent,None,Lentinula
Lentinula guzmanii,18037,Inf,1,0,16910,0,Inf,Absent,Absent,None,Lentinula
Lentinula lateritia,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Lentinula
Lentinula novae-zelandiae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lentinula
Lentinula raphanica,10958,136624,6,0,10632,0,Inf,Absent,Absent,None,Lentinula
Lentinus tigrinus ALCF2SS1-6,9795,346547,1,0,Inf,0,Inf,Absent,Absent,None,Lentinus
Lentithecium fluviatile CBS 122367,99365,47332,1,0,Inf,0,Inf,Absent,Absent,None,Lentithecium
Lenzites betulinus,1090913,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lenzites
Leopardus geoffroyi,37226867,3901,2,0,37445772,4,535,Absent,Present,PWWP,Leopardus
Leotiomycetes sp. MPI-SDFR-AT-0126,40245,128973,1,0,Inf,0,271066,Absent,Absent,None,Leotiomycetes
Lepeophtheirus salmonis,342661,739795,1,0,342346,0,16041116,Absent,Absent,None,Lepeophtheirus
Lepidopterella palustris CBS 459.81,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lepidopterella
Lepidothrix coronata,Inf,4278,1,0,Inf,2,12834,Absent,Present,PWWP,Lepidothrix
Leptidea sinapis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Leptidea
Leptocoma aspasia,Inf,4087,1,0,Inf,2,21,Absent,Present,PWWP,Leptocoma
Leptodontidium sp. 2 PMI_412,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Leptodontidium
Leptodontidium sp. MPI-SDFR-AT-0119,1028828,221666,1,0,Inf,0,508003,Absent,Absent,None,Leptodontidium
Leptomonas pyrrhocoris,140700,94747,1,0,Inf,0,Inf,Absent,Absent,None,Leptomonas
Leptomonas seymouri,29033,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Leptomonas
Leptopilina boulardi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Leptopilina
Leptopilina heterotoma,Inf,758206,1,0,Inf,0,Inf,Absent,Absent,None,Leptopilina
Leptosomus discolor,Inf,4210,1,0,Inf,2,6,Absent,Present,PWWP,Leptosomus
Leptotrombidium deliense,Inf,770,1,0,Inf,2,270,Absent,Present,PWWP,Leptotrombidium
Letharia columbiana,Inf,125860,4,0,Inf,0,Inf,Absent,Absent,None,Letharia
Letharia lupina,Inf,108062,2,0,Inf,0,Inf,Absent,Absent,None,Letharia
Letrouitia transgressa,Inf,93309,1,0,Inf,0,Inf,Absent,Absent,None,Letrouitia
Leucoagaricus sp. SymC.cos,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Leucoagaricus
Leucocoprinus birnbaumii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Leucocoprinus
Leucogyrophana mollusca,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Leucogyrophana
Leucopsar rothschildi,Inf,4087,1,0,Inf,2,21,Absent,Present,PWWP,Leucopsar
Leucoraja erinacea,77010167,5362,1,0,Inf,2,20040,Absent,Present,PWWP,Leucoraja
Lichina confinis,Inf,10172,1,0,Inf,0,Inf,Absent,Absent,None,Lichina
Lichtheimia corymbifera JMRC:FSU:9682,41052,Inf,1,0,204037,0,Inf,Absent,Absent,None,Lichtheimia
Lichtheimia hyalospora FSU 10163,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lichtheimia
Lichtheimia ornata,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Lichtheimia
Lichtheimia ramosa,Inf,534879,1,0,Inf,0,858049,Absent,Absent,None,Lichtheimia
Lignoscripta atroalba,Inf,84130,1,0,Inf,0,86905,Absent,Absent,None,Lignoscripta
Limosa lapponica baueri,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Limosa
Limulus polyphemus,Inf,1640,1,0,Inf,2,47409,Absent,Present,PWWP,Limulus
Linderina macrospora,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Linderina
Lindgomyces ingoldianus,Inf,69534,2,0,Inf,0,Inf,Absent,Absent,None,Lindgomyces
Lineolata rhizophorae,53159,47771,1,0,Inf,0,Inf,Absent,Absent,None,Lineolata
Linnemannia elongata,1814848,200517,5,0,1813442,0,Inf,Absent,Absent,None,Linnemannia
Linnemannia elongata AG-77,Inf,227070,1,0,Inf,0,Inf,Absent,Absent,None,Linnemannia
Linnemannia exigua,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Linnemannia
Linnemannia gamsii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Linnemannia
Linnemannia hyalina,1102670,196733,1,0,1106079,0,200139,Absent,Absent,None,Linnemannia
Linnemannia schmuckeri,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Linnemannia
Linnemannia zychae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Linnemannia
Linum tenue,1146,694898,7,10,0,0,48507727,Present,Absent,Tudor,Linum
Lipomyces starkeyi NRRL Y-11557,29222,398107,1,0,28651,0,401632,Absent,Absent,None,Lipomyces
Lipomyces tetrasporus,958055,218807,2,0,Inf,0,469161,Absent,Absent,None,Lipomyces
Lipotes vexillifer,Inf,3850,2,0,Inf,2,0,Absent,Present,PWWP,Lipotes
Lithospermum erythrorhizon,1215,Inf,1,2,234,0,Inf,Present,Absent,Tudor,Lithospermum
Litomosoides sigmodontis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Litomosoides
Lizonia empirigonia,Inf,52186,1,0,Inf,0,150364,Absent,Absent,None,Lizonia
Loa loa,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Loa
Lobaria immixta,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lobaria
Lobosporangium transversale,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Lobosporangium
Lobulomyces angularis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lobulomyces
Locustella ochotensis,Inf,4128,1,0,Inf,2,12494,Absent,Present,PWWP,Locustella
Lodderomyces elongisporus NRRL YB-4239,8779,308868,2,0,Inf,0,1209949,Absent,Absent,None,Lodderomyces
Lontra canadensis,Inf,4746,2,0,Inf,2,0,Absent,Present,PWWP,Lontra
Lophiostoma macrostomum CBS 122681,Inf,157502,1,0,Inf,0,Inf,Absent,Absent,None,Lophiostoma
Lophiotrema nucula,157717,502665,1,0,Inf,0,Inf,Absent,Absent,None,Lophiotrema
Lophotis ruficrista,Inf,4239,1,0,Inf,2,21,Absent,Present,PWWP,Lophotis
Lottia gigantea,5457109,5602,1,0,Inf,2,0,Absent,Present,PWWP,Lottia
Loxia leucoptera,Inf,4064,1,0,Inf,2,21,Absent,Present,PWWP,Loxia
Loxospora ochrophaea,5052,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Loxospora
Lucilia cuprina,Inf,29206,2,0,Inf,0,32999,Absent,Absent,None,Lucilia
Lucilia sericata,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Lucilia
Lunasporangiospora selenospora,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Lunasporangiospora
Lupinus albus,1558,989003,2,2,195,0,986934,Present,Absent,Tudor,Lupinus
Lupinus angustifolius,1571,5766558,5,4,213,0,5769789,Present,Absent,Tudor,Lupinus
Lutra lutra,Inf,5185,1,0,Inf,2,12689,Absent,Present,PWWP,Lutra
Lutzomyia longipalpis,5756552,415700,2,0,Inf,0,2443100,Absent,Absent,None,Lutzomyia
Lynx canadensis,37141422,3887,1,0,37361422,2,10031,Absent,Present,PWWP,Lynx
Lynx pardinus,Inf,3887,2,0,Inf,4,24,Absent,Present,PWWP,Lynx
Lynx rufus,37469822,3885,1,0,37689512,2,9837,Absent,Present,PWWP,Lynx
Lyophyllum atratum,399892,192961,1,0,899586,0,368458,Absent,Absent,None,Lyophyllum
Lytechinus variegatus,Inf,10783,2,0,Inf,4,35170,Absent,Present,PWWP,Lytechinus
Macaca fascicularis,Inf,7595,4,0,Inf,8,0,Absent,Present,PWWP,Macaca
Macaca mulatta,Inf,7948,3,0,Inf,6,24,Absent,Present,PWWP,Macaca
Macaca nemestrina,Inf,8283,2,0,Inf,4,24,Absent,Present,PWWP,Macaca
Macadamia integrifolia,1540,925988,3,6,0,0,22155150,Present,Absent,Tudor,Macadamia
Machaerirhynchus nigripectus,Inf,4157,1,0,Inf,2,12529,Absent,Present,PWWP,Machaerirhynchus
Macleaya cordata,1592,Inf,1,2,16351,0,Inf,Present,Absent,Tudor,Macleaya
Macrophomina phaseolina,191534,157458,1,0,Inf,0,237101,Absent,Absent,None,Macrophomina
Macrophomina phaseolina MS6,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Macrophomina
Macrosiphum euphorbiae,Inf,280472,1,0,Inf,0,3269156,Absent,Absent,None,Macrosiphum
Macrosteles quadrilineatus,746162,3929325,2,0,42057867,0,16057415,Absent,Absent,None,Macrosteles
Macrostomum lignano,Inf,5306,3,0,Inf,4,252,Absent,Present,PWWP,Macrostomum
Macroventuria anomochaeta,Inf,46558,2,0,Inf,0,Inf,Absent,Absent,None,Macroventuria
Madurella mycetomatis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Madurella
Magnaporthiopsis poae ATCC 64411,592083,245299,1,0,Inf,0,2117981,Absent,Absent,None,Magnaporthiopsis
Magnolia sinica,5306,6686200,2,2,273,0,6677951,Present,Absent,Tudor,Magnolia
Malaclemys terrapin pileata,Inf,11751,2,0,Inf,4,0,Absent,Present,PWWP,Malaclemys
Malania oleifera,1387,1601880,2,4,0,0,Inf,Present,Absent,Tudor,Malania
Malassezia brasiliensis,31511,66499,1,0,Inf,0,77170,Absent,Absent,None,Malassezia
Malassezia caprae,69149,23078,1,0,116642,0,174756,Absent,Absent,None,Malassezia
Malassezia cuniculi,153235,33280,1,0,438603,0,310590,Absent,Absent,None,Malassezia
Malassezia equina,251196,15319,1,0,560556,0,191838,Absent,Absent,None,Malassezia
Malassezia globosa CBS 7966,Inf,102104,2,0,Inf,0,Inf,Absent,Absent,None,Malassezia
Malassezia japonica,40394,18042,1,0,Inf,0,18756,Absent,Absent,None,Malassezia
Malassezia obtusa,401197,114777,1,0,Inf,0,Inf,Absent,Absent,None,Malassezia
Malassezia psittaci,55098,62374,1,0,Inf,0,Inf,Absent,Absent,None,Malassezia
Malassezia restricta,16709,22370,2,0,153049,0,Inf,Absent,Absent,None,Malassezia
Malassezia restricta CBS 7877,16706,22362,1,0,Inf,0,Inf,Absent,Absent,None,Malassezia
Malassezia sympodialis ATCC 42132,163463,9214,1,0,557658,0,Inf,Absent,Absent,None,Malassezia
Malassezia vespertilionis,96540,181057,2,0,133426,0,487287,Absent,Absent,None,Malassezia
Malassezia yamatoensis,95673,47711,1,0,199580,0,44997,Absent,Absent,None,Malassezia
Malaya genurostris,4479880,43908052,1,0,41550742,0,89927775,Absent,Absent,None,Malaya
Malurus melanocephalus,Inf,4228,1,0,Inf,2,2196,Absent,Present,PWWP,Malurus
Malus baccata,104,Inf,3,2,342,0,Inf,Present,Absent,Tudor,Malus
Malus domestica,131,424895,8,4,342,0,1787006,Present,Absent,Tudor,Malus
Malus sylvestris,131,1751358,1,2,342,0,Inf,Present,Absent,Tudor,Malus
Manacus candei,Inf,4269,1,0,Inf,2,2263,Absent,Present,PWWP,Manacus
Manacus vitellinus,Inf,4276,1,0,Inf,2,12856,Absent,Present,PWWP,Manacus
Manduca sexta,Inf,7439707,2,0,Inf,0,Inf,Absent,Absent,None,Manduca
Manihot esculenta,1218,3023577,2,4,466,0,Inf,Present,Absent,Tudor,Manihot
Maniola hyperantus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Maniola
Manis javanica,Inf,3758,3,0,Inf,6,7854,Absent,Present,PWWP,Manis
Manis pentadactyla,7405273,3803,2,0,Inf,4,7973,Absent,Present,PWWP,Manis
Marasmius fiardii PR-910,Inf,101613,1,0,Inf,0,Inf,Absent,Absent,None,Marasmius
Marasmius oreades,598280,148579,2,0,Inf,0,720481,Absent,Absent,None,Marasmius
Marasmius tenuissimus,Inf,403352,1,0,Inf,0,Inf,Absent,Absent,None,Marasmius
Marchantia paleacea,1512,664566,1,2,495,0,Inf,Present,Absent,Tudor,Marchantia
Marchantia polymorpha,1509,352853,1,2,486,0,Inf,Present,Absent,Tudor,Marchantia
Marchantia polymorpha subsp. ruderalis,1509,351758,2,4,486,0,14440481,Present,Absent,Tudor,Marchantia
Mariannaea sp. PMI_226,194029,293561,1,0,Inf,0,Inf,Absent,Absent,None,Mariannaea
Marmota flaviventris,Inf,5148,1,0,Inf,2,11330,Absent,Present,PWWP,Marmota
Marmota marmota marmota,Inf,5142,2,0,Inf,4,209,Absent,Present,PWWP,Marmota
Marmota monax,Inf,5146,11,0,Inf,22,0,Absent,Present,PWWP,Marmota
Marssonina coronariae,24399,24042,1,0,Inf,0,Inf,Absent,Absent,None,Marssonina
Martensiomyces pterosporus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Martensiomyces
Massarina eburnea CBS 473.64,569514,528127,1,0,Inf,0,1428139,Absent,Absent,None,Massarina
Massariosphaeria phaeospora,208277,597553,1,0,207234,0,1448747,Absent,Absent,None,Massariosphaeria
Massospora cicadina,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Massospora
Mastomys coucha,Inf,353,2,0,Inf,2,2127,Absent,Present,PWWP,Mastomys
Mauremys mutica,3628879,11316,2,0,Inf,4,22876,Absent,Present,PWWP,Mauremys
Mayamaea pseudoterrestris,723,570769,1,2,4146,0,Inf,Present,Absent,Tudor,Mayamaea
Medicago truncatula,1269,1810945,4,8,0,0,1833297,Present,Absent,Tudor,Medicago
Megachile rotundata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Megachile
Megadyptes antipodes antipodes,Inf,4734,1,0,Inf,2,21,Absent,Present,PWWP,Megadyptes
Megalobrama amblycephala,Inf,1018,2,0,Inf,4,601,Absent,Present,PWWP,Megalobrama
Megalops atlanticus,Inf,1702,1,0,Inf,2,1524,Absent,Present,PWWP,Megalops
Megalops cyprinoides,Inf,1999,1,0,Inf,2,7612,Absent,Present,PWWP,Megalops
Megalurothrips usitatus,Inf,1095,1,0,Inf,2,2248,Absent,Present,PWWP,Megalurothrips
Meira miltonrushii,477953,65385,2,0,Inf,0,613802,Absent,Absent,None,Meira
Melampsora americana,256830,607629,1,0,Inf,0,Inf,Absent,Absent,None,Melampsora
Melampsora larici-populina 98AG31,Inf,2429469,2,0,Inf,0,2432453,Absent,Absent,None,Melampsora
Melanaphis sacchari,Inf,3250582,1,0,Inf,0,Inf,Absent,Absent,None,Melanaphis
Melanocharis versteri,Inf,4202,1,0,Inf,2,12534,Absent,Present,PWWP,Melanocharis
Melanogaster broomeanus,196317,758687,1,0,Inf,0,Inf,Absent,Absent,None,Melanogaster
Melanomma pulvis-pyrius CBS 109.77,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Melanomma
Melanotaenia boesemani,Inf,853,1,0,Inf,2,5647,Absent,Present,PWWP,Melanotaenia
Melastoma candidum,997,381757,2,4,0,0,1151893,Present,Absent,Tudor,Melastoma
Meleagris gallopavo,8067753,3338,1,0,8166642,2,10073,Absent,Present,PWWP,Meleagris
Meles meles,70778328,4719,1,0,70777662,2,11506,Absent,Present,PWWP,Meles
Melia azedarach,1483,1257798,3,6,0,0,1257119,Present,Absent,Tudor,Melia
Melipona bicolor,1381294,1071125,1,0,1380277,0,Inf,Absent,Absent,None,Melipona
Melipona quadrifasciata,1388465,1633944,1,0,1387449,0,Inf,Absent,Absent,None,Melipona
Melitaea cinxia,Inf,5563042,1,0,Inf,0,Inf,Absent,Absent,None,Melitaea
Meloidogyne enterolobii,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Meloidogyne
Melopsittacus undulatus,1978886,4956,3,0,Inf,6,0,Absent,Present,PWWP,Melopsittacus
Melospiza melodia maxima,Inf,4124,1,0,Inf,2,12405,Absent,Present,PWWP,Melospiza
Melozone crissalis,Inf,4098,1,0,Inf,2,12491,Absent,Present,PWWP,Melozone
Menidia menidia,2805429,958,1,0,Inf,2,5172,Absent,Present,PWWP,Menidia
Menura novaehollandiae,Inf,4522,1,0,Inf,2,21,Absent,Present,PWWP,Menura
Mercenaria mercenaria,4632778,17678,2,0,Inf,4,0,Absent,Present,PWWP,Mercenaria
Mercurialis annua,961,2386476,1,2,282,0,2393024,Present,Absent,Tudor,Mercurialis
Meriones unguiculatus,Inf,3961,2,0,Inf,4,24,Absent,Present,PWWP,Meriones
Merluccius polli,Inf,1572,1,0,Inf,1,562,Absent,Present,PWWP,Merluccius
Merops nubicus,Inf,4471,2,0,Inf,4,12691,Absent,Present,PWWP,Merops
Mesembrinibis cayennensis,Inf,4762,1,0,Inf,2,21,Absent,Present,PWWP,Mesembrinibis
Mesitornis unicolor,Inf,4109,3,0,Inf,6,0,Absent,Present,PWWP,Mesitornis
Mesocestoides corti,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Mesocestoides
Mesocricetus auratus,Inf,4229,1,0,Inf,2,10428,Absent,Present,PWWP,Mesocricetus
Mesorhabditis belari,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Mesorhabditis
Mesorhabditis spiculigera,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Mesorhabditis
Metarhizium acridum,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium acridum CQMa 102,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium album ARSEF 1941,92863,691573,2,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium anisopliae,286975,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium anisopliae ARSEF 549,286990,911491,1,0,Inf,0,910373,Absent,Absent,None,Metarhizium
Metarhizium anisopliae BRIP 53284,Inf,158711,1,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium anisopliae BRIP 53293,467492,158714,1,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium brunneum,52284,812726,1,0,1065143,0,1288346,Absent,Absent,None,Metarhizium
Metarhizium brunneum ARSEF 3297,52284,944355,1,0,1060238,0,1283319,Absent,Absent,None,Metarhizium
Metarhizium guizhouense ARSEF 977,Inf,945741,1,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium humberi,49220,159047,1,0,Inf,0,902195,Absent,Absent,None,Metarhizium
Metarhizium majus ARSEF 297,Inf,10230,2,0,Inf,0,Inf,Absent,Absent,None,Metarhizium
Metarhizium robertsii,1217517,763864,1,0,4033693,0,1092340,Absent,Absent,None,Metarhizium
Metarhizium robertsii ARSEF 23,1217690,763420,1,0,1531964,0,936961,Absent,Absent,None,Metarhizium
Metschnikowia aff. pulcherrima,45802,66937,1,0,1016267,0,65935,Absent,Absent,None,Metschnikowia
Metschnikowia bicuspidata,20246,44052,1,0,Inf,0,44922,Absent,Absent,None,Metschnikowia
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,15482,300066,2,0,Inf,0,Inf,Absent,Absent,None,Metschnikowia
Metschnikowia persimmonesis,823549,63862,1,0,Inf,0,65886,Absent,Absent,None,Metschnikowia
Metschnikowia pulcherrima,Inf,81123,2,0,Inf,0,Inf,Absent,Absent,None,Metschnikowia
Metschnikowia sp. JCM 33374,101729,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Metschnikowia
Meyerozyma sp. JA9,41149,19921,1,0,Inf,0,16925,Absent,Absent,None,Meyerozyma
Micractinium conductrix,145807,121994,1,2,Inf,0,143429,Present,Absent,Tudor,Micractinium
Microbotryum intermedium,201455,259609,1,0,206293,0,258166,Absent,Absent,None,Microbotryum
Microbotryum lychnidis-dioicae p1A1 Lamole,Inf,10767,1,0,Inf,0,Inf,Absent,Absent,None,Microbotryum
Microbotryum silenes-dioicae,124986,10736,1,0,Inf,0,360927,Absent,Absent,None,Microbotryum
Microcaecilia unicolor,Inf,17148,1,0,Inf,2,12995,Absent,Present,PWWP,Microcaecilia
Microctonus aethiopoides,Inf,410793,2,0,Inf,0,407920,Absent,Absent,None,Microctonus
Microctonus hyperodae,1547461,385059,1,0,Inf,0,383895,Absent,Absent,None,Microctonus
Microdochium bolleyi,259141,633757,1,0,Inf,0,Inf,Absent,Absent,None,Microdochium
