GC protein
GCA_014904935.1 KAF9233196.1
GCA_014235955.1 KAF6811762.1
GCA_003344405.1 RDD38147.1
GCA_018360175.1 KAG5966521.1
GCA_027579075.1 KAJ2734237.1
GCA_003698175.1 RMJ18266.1
GCA_027575445.1 KAJ1766171.1
GCA_027578835.1 KAJ2491227.1
GCA_027578415.1 KAJ2501092.1
GCA_010078485.1 KAF1501127.1
GCA_022925895.1 KAI2497711.1
GCA_021223865.1 KAH8350396.1
GCA_021223865.1 KAH8341804.1
GCA_021223865.1 KAH8319205.1
GCA_022814195.1 MCJ1459434.1
GCA_023678845.1 KAI4503557.1
GCA_024244115.1 KAI5190605.1
GCA_026026795.1 KAI9834612.1
GCA_004155055.1 RYP76298.1
GCA_010085365.1 KAF1627791.1
GCA_013266165.1 KAF4989944.1
GCA_003339455.1 RDA83381.1
GCA_013398615.1 NWZ38887.1
GCA_014621425.1 KAF7553926.1
GCA_004155915.1 RYP93245.1
GCA_010078445.1 KAF1525375.1
GCA_018360255.1 KAG6009191.1
GCA_905331475.1 CAF3337213.1
GCA_905331475.1 CAF3337204.1
GCA_023645835.1 KAI4098939.1
GCA_911456345.1 CAG8909394.1
GCA_025328345.1 KAI8301888.1
GCA_015680625.1 KAF9550904.1
GCA_022385685.1 KAI1432574.1
GCA_022814295.1 MCJ1352262.1
GCA_013396005.1 KAF5558767.1
GCA_026054655.1 KAI9750520.1
GCA_000978885.1 KKF93163.1
GCA_001578235.1 KXT06386.1
GCA_013400475.1 NXX46158.1
GCA_002082055.1 OQV25128.1
GCA_025603285.1 KAI9229646.1
GCA_013399295.1 NXK36100.1
GCA_013400375.1 NXP14206.1
GCA_001662645.1 OBT82029.1
GCA_009176605.1 KAB7498351.1
GCA_013399595.1 NXL30494.1
GCA_002980475.2 KAF4337426.1
GCA_027946375.1 KAJ4325513.1
GCA_003426235.1 KAH8160367.1
GCA_013400215.1 NXO22527.1
GCA_013400055.1 NXN34062.1
GCA_027575675.1 KAJ1870941.1
GCA_003795295.1 ROV93679.1
GCA_027946445.1 KAJ4345177.1
GCA_013397495.1 NWS94475.1
GCA_013396505.1 NWS60315.1
GCA_900073065.1 CZR55819.1
GCA_015039315.1 KAF8317691.1
GCA_029747595.1 KAJ8481880.1
GCA_029747595.1 KAJ8454648.1
GCA_022814215.1 MCJ1271900.1
GCA_027575685.1 KAJ1861698.1
GCA_027595765.1 KAJ1747057.1
GCA_905337325.1 CAF9942881.1
GCA_013396935.1 NXG73338.1
GCA_003947015.1 RSL52349.1
GCA_905146915.1 CAD7704171.1
GCA_002933655.1 PPJ52403.1
GCA_018360325.1 KAG6066119.1
GCA_030413865.1 KAK0379187.1
GCA_018360525.1 KAG6047164.1
GCA_021224005.1 KAH8379258.1
GCA_027577175.1 KAJ2061369.1
GCA_022664585.2 KAJ2894245.1
GCA_001895945.1 OJT13158.1
GCA_027575695.1 KAJ1854417.1
GCA_014065205.1 KAG0643024.1
GCA_022814125.1 MCJ1470515.1
GCA_023531435.1 KAI3991240.1
GCA_023531435.1 KAI3980709.1
GCA_013397315.1 NXB81440.1
GCA_013398815.1 NXA25277.1
GCA_004916875.1 THV47485.1
GCA_013400075.1 NXR45693.1
GCA_014898675.1 KAF7971488.1
GCA_014898675.1 KAF7980557.1
GCA_000985935.1 CRG88135.1
GCA_013401115.1 NXV97591.1
GCA_001691755.2 KAF8635419.1
GCA_013401135.1 NXV10313.1
GCA_013396365.1 NXE75845.1
GCA_002895965.2 KAG7275649.1
GCA_003709845.1 RMZ88220.1
GCA_003339415.1 RDA91873.1
GCA_018360435.1 KAG6079813.1
GCA_002591415.1 PHH61702.1
GCA_013400295.1 NXW96864.1
GCA_027579175.1 KAJ2708276.1
GCA_911693285.1 CAG8975044.1
GCA_003947005.1 RSL91565.1
GCA_023678865.1 KAI4479356.1
GCA_943334845.2 CAI4226705.1
GCA_014621405.1 KAF7556476.1
GCA_013400155.1 NXO35111.1
GCA_018360355.1 KAG6033255.1
GCA_013396455.1 NXE14058.1
GCA_013398405.1 NWY30744.1
GCA_027627245.1 KAJ3476536.1
GCA_027595785.1 KAJ1740610.1
GCA_024741835.1 KAI6714137.1
GCA_024244055.1 KAI5185162.1
GCA_018361025.1 KAG6289934.1
GCA_013398575.1 NXC93501.1
GCA_013400795.1 NXT50420.1
GCA_900536885.1 VDB88830.1
GCA_030341885.1 CAI8005592.1
GCA_030341885.1 CAI8005586.1
GCA_030341885.1 CAI8005594.1
GCA_030341885.1 CAI8005587.1
GCA_030341885.1 CAI8005588.1
GCA_030341885.1 CAI8005593.1
GCA_030341885.1 CAI8005584.1
GCA_030341885.1 CAI8005595.1
GCA_030341885.1 CAI8005585.1
GCA_030341885.1 CAI8005589.1
GCA_030341885.1 CAI8005590.1
GCA_030341885.1 CAI8005591.1
GCA_030341885.1 CAI8008130.1
GCA_030341885.1 CAI8040485.1
GCA_030341885.1 CAI8057082.1
GCA_002914805.1 PON61699.1
GCA_027578575.1 KAJ2542495.1
GCA_013399795.1 NXR35893.1
GCA_017366145.1 KAG4439089.1
GCA_027579155.1 KAJ2723790.1
GCA_022813785.1 MCJ1405300.1
GCA_018360275.1 KAG6034957.1
GCA_023231475.1 KAI3384099.1
GCA_004802705.1 THH18729.1
GCA_013399915.1 NXM56475.1
GCA_000750895.1 KFY72251.1
GCA_003795315.1 ROW04720.1
GCA_027604505.1 KAJ3342105.1
GCA_030142185.1 KAJ9489504.1
GCA_027886305.1 KAJ3810008.1
GCA_016880985.1 KAG3255419.1
GCA_013398795.1 NXD21271.1
GCA_013266195.1 KAF4983522.1
GCA_022813925.1 MCJ1236037.1
GCA_019049445.1 KAG7197488.1
GCA_018360215.1 KAG5996075.1
GCA_021223935.1 KAH8368654.1
GCA_010080425.1 KAF1567096.1
GCA_004786225.1 TGO50936.1
GCA_001263195.1 KNZ78299.1
GCA_022750515.1 KAI1321166.1
GCA_023647555.1 KAI4290936.1
GCA_024195185.1 KAI5122644.1
GCA_030267725.1 GMF10388.1
GCA_014235935.1 KAF6844347.1
GCA_013398915.1 NWU53720.1
GCA_018360575.1 KAG6117658.1
GCA_021223985.1 KAH8404512.1
GCA_013399635.1 NXL61396.1
GCA_027604365.1 KAJ3288285.1
GCA_013390005.1 NWI54896.1
GCA_022085475.1 KAH9617260.1
GCA_022085475.1 KAH9626876.1
GCA_022085475.1 KAH9623043.1
GCA_013401295.1 NXY73340.1
GCA_001578225.1 KXT16350.1
GCA_013401065.1 NXV13201.1
GCA_002762385.1 PIM97702.1
GCA_026023695.1 KAI9762813.1
GCA_000313525.1 CCL98235.1
GCA_003698115.1 RMJ27564.1
GCA_013400275.1 NXR65126.1
GCA_013399055.1 NXP81576.1
GCA_905329745.1 CAF2472900.1
GCA_905338385.1 CAG0893053.1
GCA_905338385.1 CAG0893054.1
GCA_009761265.1 KAE9553997.1
GCA_029218145.1 KAJ6780213.1
GCA_007821475.1 TVY16651.1
GCA_018360145.1 KAG5926217.1
GCA_019973955.1 GFY79579.1
GCA_013305925.1 KAF5093221.1
GCA_013398155.1 NWW51353.1
GCA_004367935.1 TEA10058.1
GCA_015039395.1 KAF8609778.1
GCA_018360345.1 KAG6083069.1
GCA_000750805.1 KFY69088.1
GCA_905250125.1 CAF0851978.1
GCA_905250125.1 CAF0852932.1
GCA_020536535.1 KAH3767773.1
GCA_013401215.1 NXV81006.1
GCA_013399565.1 NXL48284.1
GCA_013266265.1 KAF5025853.1
GCA_002916505.1 POR38266.1
GCA_002287525.1 PAV56046.1
GCA_002287525.1 PAV56045.1
GCA_002287525.1 PAV56044.1
GCA_002287525.1 PAV56043.1
GCA_002287525.1 PAV65023.1
GCA_026025795.1 KAI9835007.1
GCA_013266205.1 KAF4992600.1
GCA_023646075.1 KAI4221135.1
GCA_029204185.1 KAJ6667035.1
GCA_018296085.1 KAG5727213.1
GCA_017607545.1 KAG5328685.1
GCA_015529515.1 KAF9189926.1
GCA_002938385.1 PPQ96131.1
GCA_905250115.1 CAF1182110.1
GCA_018360205.1 KAG5973827.1
GCA_905338405.1 CAG0914143.1
GCA_016097715.1 KAG0167716.1
GCA_016097715.1 KAG0163788.1
GCA_016098085.1 KAG0220391.1
GCA_015529505.1 KAF9192898.1
GCA_013397665.1 NWS42194.1
GCA_027627405.1 KAJ3568264.1
GCA_002938355.1 PPR06375.1
GCA_009835185.1 KAF0691035.1
GCA_013054445.1 KAF4626298.1
GCA_025026875.1 KAI7839519.1
GCA_025026875.1 KAI7844585.1
GCA_018858115.1 KAG6917118.1
GCA_027578295.1 KAJ2448284.1
GCA_007821535.1 TVY38478.1
GCA_016098035.1 KAG0213342.1
GCA_019616945.1 KAG8745359.1
GCA_011009095.1 KAF2882315.1
GCA_027577275.1 KAJ2083299.1
GCA_006783055.1 KAF2367994.1
GCA_018360385.1 KAG6081609.1
GCA_023645975.1 KAI4129256.1
GCA_018360375.1 KAG6059312.1
GCA_013399395.1 NXW46610.1
GCA_023645815.1 KAI4119758.1
GCA_023646635.1 KAI4275627.1
GCA_004679275.1 TFY65376.1
GCA_000750925.1 KFY88917.1
GCA_023647215.1 KAI4280476.1
GCA_030267965.1 GMI27503.1
GCA_001633055.2 RCI13534.1
GCA_018360075.1 KAG5961008.1
GCA_004367215.1 TDZ29442.1
GCA_013396675.1 NXF94233.1
GCA_002087915.1 ORD95081.1
GCA_000956335.1 KJP88821.1
GCA_013396435.1 NXC68042.1
GCA_027604545.1 KAJ3388524.1
GCA_027946425.1 KAJ4398494.1
GCA_023646325.1 KAI4247114.1
GCA_013397635.1 NWQ79866.1
GCA_014764975.2 KAF9772352.1
GCA_013401315.1 NXS39486.1
GCA_000750935.1 KFZ06613.1
GCA_023646255.1 KAI4175326.1
GCA_001275005.1 KOO27227.1
GCA_000750875.1 KFY86874.1
GCA_019968955.1 KAH0484465.1
GCA_019968955.1 KAH0484462.1
GCA_019968955.1 KAH0484463.1
GCA_019968955.1 KAH0484464.1
GCA_013400895.1 NXU29662.1
GCA_012931995.1 KAF4462738.1
GCA_002591395.1 PHH70032.1
GCA_910592015.1 CAG8542071.1
GCA_910592015.1 CAG8546606.1
GCA_023515795.1 KAI3662601.1
GCA_027578855.1 KAJ2598968.1
GCA_007825325.1 TVY53386.1
GCA_015502465.1 KAF9128582.1
GCA_003549995.1 RGB43541.1
GCA_017607575.1 KAG5338497.1
GCA_910592345.1 CAG8609384.1
GCA_027596035.1 KAJ3017889.1
GCA_015502475.1 KAF9090744.1
GCA_016984175.1 MBN3320183.1
GCA_015499985.1 KAF8944450.1
GCA_002901185.1 PNY23095.1
GCA_019968985.1 KAH0480484.1
GCA_019968985.1 KAH0480482.1
GCA_019968985.1 KAH0480483.1
GCA_001272575.2 PFH62670.1
GCA_015852425.1 KAG0042840.1
GCA_000750795.1 KFY46273.1
GCA_027596195.1 KAJ3067378.1
GCA_904859935.1 CAD6568568.1
GCA_027478255.1 KAJ1656673.1
GCA_030267785.1 GMF49292.1
GCA_016098045.1 KAG0243739.1
GCA_027579235.1 KAJ2740780.1
GCA_018282025.1 KAG5654432.1
GCA_000750665.1 KFX94658.1
GCA_000750995.1 KFZ11511.1
GCA_002600585.1 PHJ23844.1
GCA_022814065.1 MCJ1483647.1
GCA_000750735.1 KFY09117.1
GCA_023645885.1 KAI4147367.1
GCA_019632285.1 KAG8888505.1
GCA_015502455.1 KAF9116537.1
GCA_000750745.1 KFY25710.1
GCA_007825345.1 TVY81493.1
GCA_001747045.1 OEJ90772.1
GCA_027600665.1 KAJ3191035.1
GCA_030267985.1 GMI59176.1
GCA_027577815.1 KAJ2238351.1
GCA_027577535.1 KAJ2159010.1
GCA_017607525.1 KAG5322869.1
GCA_027575275.1 KAJ1831365.1
GCA_001702395.2 POS76798.1
GCA_027578395.1 KAJ2514285.1
GCA_027578395.1 KAJ2518313.1
GCA_015502445.1 KAF9105532.1
GCA_905231905.1 CAE7412410.1
GCA_027579135.1 KAJ2606639.1
GCA_000750675.1 KFX90489.1
GCA_001662595.1 OBT50386.1
GCA_027595805.1 KAJ1727507.1
GCA_012184355.1 KAF3909313.1
GCA_013399535.1 NXW34413.1
GCA_027577415.1 KAJ2117952.1
GCA_027577415.1 KAJ2106369.1
GCA_027577415.1 KAJ2114336.1
GCA_019633595.1 KAG9048858.1
GCA_001460835.1 CUE73371.1
GCA_019632265.1 KAG8883010.1
GCA_001970855.1 OMJ22240.1
GCA_004681135.1 TFY82733.1
GCA_015502485.1 KAF9144247.1
GCA_026023795.1 KAI9778632.1
GCA_018360365.1 KAG6022209.1
GCA_018360135.1 KAG5936575.1
GCA_013400535.1 NXX59176.1
GCA_022814045.1 MCJ1426419.1
GCA_003675995.1 RWS13405.1
GCA_001953115.1 OLY78249.1
GCA_910592205.1 CAG8545247.1
GCA_027604605.1 KAJ3298249.1
GCA_013399335.1 NXW05983.1
GCA_027577135.1 KAJ2037960.1
GCA_027577135.1 KAJ2039577.1
GCA_027577135.1 KAJ2040415.1
GCA_001712635.2 RLN32023.1
GCA_001712635.2 RLN74936.1
GCA_002591385.1 PHH85819.1
GCA_027578815.1 KAJ2614965.1
GCA_027578815.1 KAJ2612036.1
GCA_027575325.1 KAJ1821077.1
GCA_018360225.1 KAG5986359.1
GCA_013401355.1 NXY83728.1
GCA_027577195.1 KAJ2050195.1
GCA_027577195.1 KAJ2046192.1
GCA_027577195.1 KAJ2036932.1
GCA_023645945.1 KAI4148791.1
GCA_027578695.1 KAJ2611116.1
GCA_015679515.1 KAF9348583.1
GCA_026770575.1 KAJ1458475.1
GCA_023645895.1 KAI4133942.1
GCA_026027315.1 KAI9879585.1
GCA_016098025.1 KAG0378622.1
GCA_027577745.1 KAJ2287388.1
GCA_027579605.1 KAJ2849422.1
GCA_027576955.1 KAJ1974513.1
GCA_001563735.1 KXN86517.1
GCA_029590615.1 KAJ8105002.1
GCA_003719485.1 RNF05239.1
GCA_002081605.1 OQR69623.1
GCA_018360185.1 KAG5986104.1
GCA_027579255.1 KAJ2742239.1
GCA_027579255.1 KAJ2741392.1
GCA_027579255.1 KAJ2749263.1
GCA_027579255.1 KAJ2755272.1
GCA_015679545.1 KAF9345546.1
GCA_902459845.2 VWU50744.1
GCA_027576935.1 KAJ1983733.1
GCA_000982615.1 CCW66969.1
GCA_019623705.1 KAG8755575.1
GCA_019623705.1 KAG8768181.1
GCA_019616345.1 KAG8719323.1
GCA_019616345.1 KAG8693336.1
GCA_902602495.3 CAB1104521.1
GCA_015529795.1 KAF9201562.1
GCA_905250885.1 CAF1162083.1
GCA_004000155.1 RVD90917.1
GCA_023646375.1 KAI4223212.1
GCA_002918395.1 POS84520.1
GCA_027579055.1 KAJ2783973.1
GCA_015502575.1 KAF9163840.1
GCA_027577115.1 KAJ2014368.1
GCA_027577115.1 KAJ2020064.1
GCA_905231915.1 CAE7859015.1
GCA_019616975.1 KAG8760584.1
GCA_023646395.1 KAI4247116.1
GCA_015679695.1 KAF9377864.1
GCA_003990785.1 RUS19437.1
GCA_003990785.1 RUS15492.1
GCA_022627015.2 KAI1002376.1
GCA_019632305.1 KAG8907125.1
GCA_905221635.1 CAE7617348.1
GCA_015500005.1 KAF8966381.1
GCA_017607565.1 KAG5332634.1
GCA_027577675.1 KAJ2260272.1
GCA_001875675.1 OIR57734.1
GCA_016097895.1 KAG0276655.1
GCA_946474995.1 CAI2182652.1
GCA_946474995.1 CAI2182650.1
GCA_946474995.1 CAI2182891.1
GCA_946474995.1 CAI2192082.1
GCA_946474995.1 CAI2197854.1
GCA_946474995.1 CAI2197546.1
GCA_900000165.1 CEH15177.1
GCA_910591945.1 CAG8434233.1
GCA_002240705.1 OXV10588.1
GCA_015679585.1 KAF9438134.1
GCA_015679585.1 KAF9438135.1
GCA_910591915.1 CAG8661124.1
GCA_910591825.1 CAG8558122.1
GCA_018854895.1 KAG6810732.1
GCA_030347285.1 KAK0182594.1
GCA_008271595.1 TYZ58124.1
GCA_008271595.1 TYZ62181.1
GCA_027578355.1 KAJ2484588.1
GCA_015832245.1 KAF9762263.1
GCA_000950595.1 GAN01573.1
GCA_016618355.2 KAG6333930.1
GCA_018857285.1 KAG6861406.1
GCA_027577215.1 KAJ2049380.1
GCA_027577215.1 KAJ2070079.1
GCA_027577215.1 KAJ2072793.1
GCA_014805705.1 KAF7700517.1
GCA_023646655.1 KAI4285581.1
GCA_013399775.1 NXR14422.1
GCA_013399775.1 NXR14381.1
GCA_019627725.1 KAG8825170.1
GCA_001457755.2 SCU73212.1
GCA_027577255.1 KAJ2099811.1
GCA_027577255.1 KAJ2104180.1
GCA_019633455.1 KAG8966978.1
GCA_019633495.1 KAG8987176.1
GCA_019633495.1 KAG8987214.1
GCA_910592055.1 CAG8467250.1
GCA_910592055.1 CAG8523968.1
GCA_027578315.1 KAJ2466759.1
GCA_019632295.1 KAG8933876.1
GCA_027577345.1 KAJ2154282.1
GCA_007825375.1 TVY90658.1
GCA_014220965.1 KAF6768169.1
GCA_014220965.1 KAF6779119.1
GCA_018857265.1 KAG6888727.1
GCA_019616325.1 KAG8682399.1
GCA_019616325.1 KAG8682404.1
GCA_019616325.1 KAG8679702.1
GCA_024243955.1 KAI5172698.1
GCA_001882365.1 OJA20212.1
GCA_023645955.1 KAI4131678.1
GCA_027577455.1 KAJ2192456.1
GCA_027578515.1 KAJ2536769.1
GCA_910591965.1 CAG8639019.1
GCA_910591965.1 CAG8829104.1
GCA_027578495.1 KAJ2357284.1
GCA_019623665.1 KAG8788474.1
GCA_003086725.1 PVU92042.1
GCA_019627685.1 KAG8830583.1
GCA_019627685.1 KAG8830562.1
GCA_019627685.1 KAG8820621.1
GCA_027577375.1 KAJ2163512.1
GCA_019633405.1 KAG8921126.1
GCA_019633405.1 KAG8916636.1
GCA_003097675.1 PWA01534.1
GCA_003097675.1 PWA00191.1
GCA_024244195.1 KAI5288733.1
GCA_018855915.1 KAG6815417.1
GCA_019627745.1 KAG8874684.1
GCA_027578115.1 KAJ2412662.1
GCA_019623675.1 KAG8803556.1
GCA_019627755.1 KAG8857786.1
GCA_027578475.1 KAJ2374420.1
GCA_027578475.1 KAJ2367341.1
GCA_027579505.1 KAJ2800814.1
GCA_013396815.1 NXC13767.1
GCA_027577015.1 KAJ1953581.1
GCA_027577015.1 KAJ1950124.1
GCA_027579035.1 KAJ2725940.1
GCA_027577835.1 KAJ2301337.1
GCA_027577835.1 KAJ2306365.1
GCA_027578335.1 KAJ2523704.1
GCA_027578935.1 KAJ2674596.1
GCA_027579465.1 KAJ2537655.1
GCA_027578275.1 KAJ2457965.1
GCA_019627735.1 KAG8819641.1
GCA_027578155.1 KAJ2274403.1
GCA_027604405.1 KAJ3328033.1
GCA_027604405.1 KAJ3340520.1
GCA_027578715.1 KAJ2630267.1
GCA_027577855.1 KAJ2295187.1
GCA_027577435.1 KAJ2203623.1
GCA_024244165.1 KAI5295946.1
GCA_027578535.1 KAJ2551510.1
GCA_027578255.1 KAJ2443500.1
GCA_027578255.1 KAJ2460341.1
GCA_027575375.1 KAJ1808376.1
GCA_027577725.1 KAJ2228965.1
GCA_016256075.1 KAG0442396.1
GCA_019677385.1 KAG9127694.1
GCA_027577765.1 KAJ2307169.1
GCA_027577765.1 KAJ2313564.1
GCA_905368565.1 CAG2121307.1
GCA_027577695.1 KAJ2269932.1
GCA_024244615.1 KAI5305878.1
GCA_027575385.1 KAJ1799617.1
GCA_019649035.1 GFR92090.1
GCA_910591835.1 CAG8628012.1
GCA_905397405.1 CAG2171598.1
GCA_905397405.1 CAG2182967.1
GCA_905397405.1 CAG2184328.1
GCA_027579015.1 KAJ2713133.1
GCA_027579015.1 KAJ2723048.1
GCA_027578235.1 KAJ2431158.1
GCA_027578235.1 KAJ2434527.1
GCA_027578215.1 KAJ2234089.1
GCA_027578215.1 KAJ2240272.1
GCA_026770615.1 KAJ1635665.1
GCA_026770615.1 KAJ1635667.1
GCA_027575405.1 KAJ1789769.1
GCA_027577575.1 KAJ2189068.1
GCA_910591765.1 CAG8445223.1
GCA_027576915.1 KAJ1965373.1
GCA_027578015.1 KAJ2345777.1
GCA_027578015.1 KAJ2355464.1
GCA_027604625.1 KAJ3317692.1
GCA_027575465.1 KAJ1777995.1
GCA_018857305.1 KAG6876423.1
GCA_027577615.1 KAJ2263023.1
GCA_027575815.1 KAJ1906247.1
GCA_019677355.1 KAG9092473.1
GCA_018856295.1 KAG6841043.1
GCA_027577155.1 KAJ2043780.1
GCA_027577155.1 KAJ2038680.1
GCA_027578075.1 KAJ2396495.1
GCA_027577515.1 KAJ2140842.1
GCA_026770585.1 KAJ1496510.1
GCA_026770585.1 KAJ1473698.1
GCA_026770585.1 KAJ1473697.1
GCA_027575725.1 KAJ1876959.1
GCA_027575725.1 KAJ1876945.1
GCA_008636045.1 KAA6399642.1
GCA_024195485.1 KAI4855746.1
GCA_024195465.1 KAI4834485.1
GCA_024195465.1 KAI4831982.1
GCA_910592325.1 CAG8613818.1
GCA_001263375.1 KNZ53965.1
GCA_027577235.1 KAJ2078523.1
GCA_910592135.1 CAG8706945.1
GCA_027577955.1 KAJ2327243.1
GCA_027577955.1 KAJ2352574.1
GCA_027577955.1 KAJ2349914.1
GCA_027577955.1 KAJ2327126.1
GCA_027575545.1 KAJ1760673.1
GCA_027575425.1 KAJ1791969.1
GCA_027575525.1 KAJ1764683.1
GCA_027577715.1 KAJ2291006.1
GCA_027577715.1 KAJ2301334.1
GCA_027575625.1 KAJ1889830.1
GCA_027575625.1 KAJ1888992.1
GCA_027575625.1 KAJ1893190.1
GCA_027577845.1 KAJ2317285.1
GCA_027577845.1 KAJ2324284.1
GCA_018855395.1 KAG6836841.1
GCA_027577095.1 KAJ2014443.1
GCA_027578055.1 KAJ2360520.1
GCA_027578055.1 KAJ2375269.1
GCA_027579295.1 KAJ2840037.1
GCA_027579295.1 KAJ2840793.1
GCA_027579215.1 KAJ2759104.1
GCA_900618415.1 VDP11565.1
GCA_900618415.1 VDP36191.1
GCA_905359515.1 CAG2053472.1
GCA_905359515.1 CAG2069356.1
GCA_030267505.1 GMI54541.1
GCA_030267505.1 GMI30193.1
GCA_027575745.1 KAJ1860041.1
GCA_027575745.1 KAJ1842735.1
GCA_013358455.1 KAF5181247.1
GCA_027578035.1 KAJ2387087.1
GCA_027578035.1 KAJ2374737.1
GCA_000512085.1 ETO07665.1
GCA_000512085.1 ETO15829.1
GCA_000512085.1 ETN97557.1
GCA_013400675.1 NXR98603.1
GCA_027577655.1 KAJ2246498.1
GCA_027575305.1 KAJ1847374.1
GCA_027575305.1 KAJ1848687.1
GCA_027575335.1 KAJ1826562.1
GCA_027577995.1 KAJ2331432.1
GCA_027579275.1 KAJ2776601.1
GCA_027577395.1 KAJ2151879.1
GCA_027577075.1 KAJ2010276.1
GCA_027577075.1 KAJ2010718.1
GCA_030267625.1 GMH60947.1
GCA_027577315.1 KAJ2111281.1
GCA_027577975.1 KAJ2336890.1
GCA_027575355.1 KAJ1821781.1
GCA_027577555.1 KAJ2165379.1
GCA_027577555.1 KAJ2171031.1
GCA_027577635.1 KAJ2246973.1
GCA_003086735.1 PVU87242.1
GCA_910592285.1 CAG8617346.1
GCA_910592285.1 CAG8837810.1
GCA_027578135.1 KAJ2428452.1
GCA_027578455.1 KAJ2484473.1
GCA_027577795.1 KAJ2186377.1
GCA_027577795.1 KAJ2192694.1
GCA_002157105.1 OUM61435.1
GCA_027577475.1 KAJ2134613.1
GCA_027577475.1 KAJ2115420.1
GCA_027578435.1 KAJ2530207.1
GCA_027578175.1 KAJ2411985.1
GCA_026955015.1 KAJ1535025.1
GCA_026955015.1 KAJ1524688.1
GCA_026955015.1 KAJ1536995.1
GCA_027578655.1 KAJ2641314.1
GCA_027575855.1 KAJ1941014.1
GCA_027575855.1 KAJ1950254.1
GCA_003086715.1 PVV05079.1
GCA_027596175.1 KAJ3063792.1
GCA_027596175.1 KAJ3046943.1
GCA_902206195.3 VVB06963.1
GCA_902206195.3 VVB06754.1
GCA_900618025.1 VDO45733.1
GCA_900618025.1 VDO09396.1
GCA_027578735.1 KAJ2649247.1
GCA_027578595.1 KAJ2558637.1
GCA_900617795.1 VEL24721.1
GCA_900617795.1 VEL06919.1
GCA_900617795.1 VEL30231.1
GCA_027478835.1 KAJ1671210.1
GCA_002135145.1 OTF82360.1
GCA_003490085.1 MCH88886.1
GCA_900002335.2 VTZ69044.1
GCA_007993695.1 QEU59565.1
GCA_029203305.1 WEJ92664.1
GCA_903819175.2 CAD6610508.1
GCA_903819145.2 CAD6610620.1
GCA_903819135.2 CAD6467816.1
GCA_903819125.2 CAD6609972.1
GCA_903819205.2 CAD6610417.1
GCA_903819155.2 CAD6610848.1
GCA_903819195.2 CAD6609871.1
GCA_903819195.2 CAD6609199.1
GCA_022832995.1 UOH83939.1
GCA_004346965.1 QBZ62541.1
GCA_020450195.1 UCS20683.1
GCA_020450235.1 UCS31144.1
GCA_020450265.1 UCS36373.1
GCA_020450215.1 UCS25914.1
GCA_014217725.1 QNG14050.1
GCA_900073075.1 CZS73450.1
GCA_022201065.1 KAH9786713.1
GCA_022201065.1 KAH9786715.1
GCA_022201065.1 KAH9786714.1
GCA_022201065.1 KAH9786716.1
GCA_022201065.1 KAH9786718.1
GCA_022201065.1 KAH9786717.1
GCA_022201065.1 KAH9786720.1
GCA_022201065.1 KAH9786719.1
GCA_022201065.1 KAH9786721.1
GCA_014784225.2 UDD58559.1
GCA_009017415.1 QRD85849.1
GCA_016809505.1 QRG38633.1
GCA_008275145.1 QEL60984.1
GCA_019332045.1 QWW24359.1
GCA_014490615.1 QNP99662.1
GCA_001761485.1 AOW07743.1
GCA_001854445.2 QGN15299.1
GCA_001417835.1 BAP71075.1
GCA_003719575.1 AYU83550.1
GCA_900635355.2 CAC5434775.1
GCA_916722125.1 CAG9583719.1
GCA_900235035.2 CAH2448809.1
GCA_020647795.1 UKZ64945.1
GCA_008080495.1 ATY58896.1
GCA_020844765.3 WBY58431.1
GCA_020844765.3 WBY58432.1
GCA_020647865.1 UKZ90430.1
GCA_900500625.2 CAC9550040.1
GCA_015245375.1 QOY39785.1
GCA_021901655.1 KAH9462252.1
GCA_009498055.1 QFZ28800.1
GCA_009498135.1 QFZ51490.1
GCA_009498075.1 QFZ34463.1
GCA_009498115.1 QFZ45828.1
GCA_009498095.1 QFZ40148.1
GCA_027557585.1 WBF11082.1
GCA_947243805.1 CAI4055336.1
GCA_017310585.1 QSS64547.1
GCA_017355575.1 QSS70425.1
GCA_017310615.1 QSS52436.1
GCA_030272055.1 WIA08847.1
GCA_026914245.1 WAR52754.1
GCA_016767815.1 QQK39788.1
GCA_020647635.1 UKZ49223.1
GCA_020647705.1 UKZ75749.1
GCA_016865315.1 BCS12742.1
GCA_018416015.2 QVM10161.1
GCA_900537975.1 SYZ70024.1
GCA_946405395.1 CAI1822513.1
GCA_946408725.1 CAI1857339.1
GCA_016952305.1 QPC73391.1
GCA_019332025.1 QWU88376.1
GCA_947243785.1 CAI4058123.1
GCA_027571585.1 UYI26531.1
GCA_003072545.3 UKJ87722.1
GCA_013426205.1 QLI73981.1
GCA_000968835.1 AEY98936.1
GCA_007859695.1 QDZ20730.1
GCA_007859695.1 QDZ20417.1
GCA_024399255.1 UTX44150.1
GCA_029215505.1 WEL39640.1
GCA_900149145.1 SHO77967.1
GCA_024399295.1 UTX46224.1
GCA_903994235.1 CAD2108150.1
GCA_903994205.1 CAD2094735.1
GCA_016906555.1 QRW04819.1
GCA_000149245.3 AFR98112.2
GCA_010111755.1 QHS66351.1
GCA_029226625.1 WDK21847.1
GCA_003691605.1 AYO44299.1
GCA_900290415.1 VBB81122.1
GCA_904420315.1 CAD5326872.1
GCA_002571405.2 QHB07561.1
GCA_000976005.2 AJU65623.1
GCA_000975915.3 AJU63505.1
GCA_000975885.2 AJU62806.1
