GC PWWPtblastn Tudortblastn
GCA_003635345.1 52724 Inf
GCA_022813945.1 36754 Inf
GCA_027943385.1 52879 1691
GCA_026026165.1 207178 Inf
GCA_905183005.1 Inf Inf
GCA_002873125.1 54352 Inf
GCA_947650285.1 Inf Inf
GCA_022814175.1 Inf 5052
GCA_025201885.1 127456 2017
GCA_001600855.1 866901 7867
GCA_005059875.1 Inf 7770
GCA_026023525.1 135550 Inf
GCA_026027345.1 Inf 107570
GCA_002120335.1 44850 Inf
GCA_013399015.1 3523 Inf
GCA_026023815.1 15289 Inf
GCA_026025805.1 160040 Inf
GCA_905116865.2 16435 Inf
GCA_022578715.1 Inf Inf
GCA_905182975.1 Inf Inf
GCA_011057905.1 Inf Inf
GCA_947858975.1 Inf Inf
GCA_001642395.1 Inf 30801
GCA_935541525.1 420880 Inf
GCA_021399465.1 Inf 76124
GCA_022814335.1 82265 Inf
GCA_001305275.1 30337 1078518
GCA_009792415.2 4209 Inf
GCA_007210665.1 2982 6579
GCA_022813845.1 26462 102409
GCA_027724725.1 1387608 Inf
GCA_024244045.1 69308 162063
GCA_020744175.1 20022 Inf
GCA_905178165.1 Inf Inf
GCA_009613015.1 6215 Inf
GCA_020341155.1 1262421 Inf
GCA_022813995.1 Inf 7190
GCA_947184155.1 Inf Inf
GCA_022814235.1 84130 Inf
GCA_900180425.1 291298 899312
GCA_023646125.1 55690 6311
GCA_021432635.1 Inf 285054
GCA_030247855.1 4993 Inf
GCA_005406065.1 Inf 101729
GCA_014080715.1 Inf 2733
GCA_022578965.1 Inf Inf
GCA_905337345.1 138758 Inf
GCA_022813885.1 64467 Inf
GCA_029204085.1 Inf Inf
GCA_010015745.1 Inf Inf
GCA_026026785.1 188801 44309
GCA_026024425.1 Inf Inf
GCA_022578495.1 97722 Inf
GCA_024243985.1 326418 15742
GCA_012184315.1 89398 87
GCA_024244025.1 Inf 15819
GCA_004155035.1 35587 Inf
GCA_013368555.1 Inf Inf
GCA_013396075.1 123842 43717
GCA_005298045.1 Inf Inf
GCA_022385745.1 Inf Inf
GCA_030039265.1 Inf Inf
GCA_024244035.1 Inf 15800
GCA_026319125.1 52512 Inf
GCA_001662575.1 Inf 126997
GCA_022813865.1 132742 Inf
GCA_026023555.1 26338 Inf
GCA_013396295.1 Inf Inf
GCA_021821965.1 32052 14134
GCA_905337355.1 Inf Inf
GCA_027577295.1 96056 Inf
GCA_030340625.1 1572 Inf
GCA_003946985.1 Inf 20217
GCA_021223825.1 Inf 48625
GCA_003316985.1 Inf Inf
GCA_001937105.1 53346 Inf
GCA_027604705.1 109960 369936
GCA_014839625.1 32876 Inf
GCA_002120305.1 73457 Inf
GCA_022814025.1 70866 Inf
GCA_027578675.1 48285 Inf
GCA_022814355.1 72497 Inf
GCA_029834535.1 165663 444
GCA_026024515.1 Inf Inf
GCA_027478935.1 96025 Inf
GCA_027578555.1 96022 Inf
GCA_002120315.1 73294 Inf
GCA_023242295.1 Inf Inf
GCA_019055375.1 Inf Inf
GCA_004786125.1 125388 Inf
GCA_900005825.1 Inf Inf
GCA_012656285.1 Inf Inf
GCA_002120325.1 97221 Inf
GCA_003676035.1 15310 22337
GCA_003693665.1 Inf Inf
GCA_001447755.1 Inf Inf
GCA_027579765.1 Inf Inf
GCA_008636185.1 431179 1500
GCA_022813825.1 Inf 104872
GCA_001662605.1 Inf 109801
GCA_025201765.1 128397 Inf
GCA_004155925.1 Inf Inf
GCA_016584305.1 Inf Inf
GCA_027578955.1 62878 37667
GCA_013396015.1 Inf Inf
GCA_025328985.1 10063 135690
GCA_023645825.1 Inf Inf
GCA_014529505.1 2929 39062
GCA_025327155.1 52527 Inf
GCA_011058865.1 29428 98530
GCA_029963825.1 Inf Inf
GCA_023645845.1 Inf Inf
GCA_900088485.1 56010 Inf
GCA_027577595.1 96022 Inf
GCA_027578775.1 62820 37651
GCA_026319135.1 52527 Inf
GCA_021223745.1 Inf Inf
GCA_016758985.1 Inf Inf
GCA_928212115.1 9202822 874
GCA_014621435.1 85541 Inf
GCA_026025825.1 Inf 2309
GCA_025328625.1 52463 Inf
GCA_010078495.1 4730 Inf
GCA_007224835.1 1196 Inf
GCA_025327165.1 Inf Inf
GCA_013266175.1 124019 Inf
GCA_023646365.1 Inf Inf
GCA_013398295.1 4717 Inf
GCA_022495205.1 Inf 738
GCA_013398275.1 4112 Inf
GCA_027946555.1 62458 Inf
GCA_900074905.1 103563 Inf
GCA_013399365.1 4185 Inf
GCA_019632275.1 35361 151679
GCA_013364935.1 Inf Inf
GCA_004786145.1 125259 Inf
GCA_001662585.1 204100 Inf
GCA_004155935.1 34377 Inf
GCA_003947045.1 Inf Inf
GCA_022813805.1 117138 Inf
GCA_025328335.1 52480 Inf
GCA_001447655.1 276101 Inf
GCA_013397565.1 4130 Inf
GCA_001447745.1 Inf Inf
GCA_027577495.1 Inf Inf
GCA_026025075.1 Inf 84210
GCA_025327135.1 Inf Inf
GCA_013398955.1 4169 Inf
GCA_002573585.1 119198 Inf
GCA_013396035.1 Inf Inf
GCA_030247915.1 Inf 45940
GCA_004154975.1 33628 Inf
GCA_025330015.1 52463 Inf
GCA_024195585.1 Inf Inf
GCA_027578915.1 34413 Inf
GCA_027604245.1 Inf Inf
GCA_025329385.1 Inf Inf
GCA_025327145.1 52445 Inf
GCA_003024175.1 Inf 98813
GCA_004786245.1 126579 Inf
GCA_001447665.1 Inf Inf
GCA_027604345.1 23531 Inf
GCA_002812745.2 Inf Inf
GCA_028639655.1 Inf Inf
GCA_001447505.1 Inf Inf
GCA_014235945.1 50748 172408
GCA_004155945.1 Inf Inf
GCA_001632445.1 Inf Inf
GCA_024195555.1 Inf Inf
GCA_003019895.1 55426 Inf
GCA_023531105.1 Inf 1012
GCA_024195545.1 Inf Inf
GCA_002276475.2 Inf 112515
GCA_027604185.1 24014 Inf
GCA_022495085.1 83090 Inf
GCA_026054615.1 15250 Inf
GCA_023646055.1 Inf Inf
GCA_001447435.1 Inf Inf
GCA_021223945.1 14150239 Inf
GCA_027604645.1 Inf Inf
GCA_001447585.1 Inf Inf
GCA_010080465.1 4733 Inf
GCA_013396255.1 Inf 26577
GCA_027603945.1 Inf Inf
GCA_025329375.1 Inf Inf
GCA_027578755.1 Inf Inf
GCA_027604465.1 Inf Inf
GCA_019633425.1 4770 Inf
GCA_900661375.1 3887 Inf
GCA_028654355.1 36334 Inf
GCA_014839865.1 Inf Inf
GCA_021605095.1 Inf Inf
GCA_916381525.1 Inf Inf
GCA_004786275.1 123967 Inf
GCA_022813965.1 Inf Inf
GCA_025328355.1 Inf Inf
GCA_019633485.1 4770 Inf
GCA_905182985.1 Inf Inf
GCA_025327125.1 52445 Inf
GCA_014904935.1 758687 196317
GCA_014235955.1 24917 Inf
GCA_003344405.1 2367 Inf
GCA_018360175.1 Inf Inf
GCA_027579075.1 Inf Inf
GCA_003698175.1 147146 Inf
GCA_027575445.1 Inf Inf
GCA_027578835.1 Inf Inf
GCA_027578415.1 44124 Inf
GCA_010078485.1 4734 Inf
GCA_022925895.1 Inf 561
GCA_021223865.1 Inf Inf
GCA_022814195.1 28178 Inf
GCA_023678845.1 102661 Inf
GCA_024244115.1 13492 31153
GCA_026026795.1 Inf Inf
GCA_004155055.1 Inf Inf
GCA_010085365.1 4746 Inf
GCA_013266165.1 Inf Inf
GCA_003339455.1 Inf Inf
GCA_001642415.1 Inf Inf
GCA_013398615.1 4091 Inf
GCA_014621425.1 Inf Inf
GCA_004155915.1 45972 Inf
GCA_010078445.1 4744 Inf
GCA_018360255.1 Inf 54977
GCA_905331475.1 Inf Inf
GCA_023645835.1 8197 Inf
GCA_911456345.1 15551 9887
GCA_025328345.1 52375 Inf
GCA_027600675.1 Inf Inf
GCA_015680625.1 71132 Inf
GCA_022385685.1 Inf 15452
GCA_022814295.1 Inf Inf
GCA_013396005.1 Inf Inf
GCA_026054655.1 10172 Inf
GCA_000978885.1 30969 Inf
GCA_001578235.1 Inf Inf
GCA_013400475.1 4097 Inf
GCA_002082055.1 Inf Inf
GCA_025603285.1 Inf Inf
GCA_013399295.1 4239 Inf
GCA_013400375.1 4773 Inf
GCA_001662645.1 48790 109827
GCA_009176605.1 4600 Inf
GCA_013399595.1 4778 Inf
GCA_002980475.2 Inf Inf
GCA_027946375.1 Inf 10901
GCA_003426235.1 Inf Inf
GCA_013400215.1 4028 Inf
GCA_013400055.1 4820 Inf
GCA_027575675.1 62854 37649
GCA_003795295.1 53981 Inf
GCA_027946445.1 Inf Inf
GCA_013397495.1 4295 Inf
GCA_013396505.1 4678 Inf
GCA_900073065.1 303186 Inf
GCA_015039315.1 Inf Inf
GCA_029747595.1 Inf Inf
GCA_022814215.1 Inf Inf
GCA_027575685.1 62809 Inf
GCA_027595765.1 62813 37652
GCA_905337325.1 Inf Inf
GCA_013396935.1 4305 Inf
GCA_003947015.1 6487 Inf
GCA_905146915.1 Inf 1960
GCA_002933655.1 Inf 8805
GCA_018360325.1 Inf Inf
GCA_030413865.1 52007 Inf
GCA_018360525.1 Inf Inf
GCA_021224005.1 6579645 Inf
GCA_027577175.1 Inf Inf
GCA_022664585.2 49127 Inf
GCA_001895945.1 Inf Inf
GCA_027575695.1 Inf Inf
GCA_014065205.1 30332 Inf
GCA_024244095.1 Inf 16783
GCA_022814125.1 Inf Inf
GCA_023531435.1 1887276 1311
GCA_013397315.1 4125 Inf
GCA_013398815.1 4572 Inf
GCA_004916875.1 Inf Inf
GCA_013400075.1 4116 Inf
GCA_014898675.1 5010 Inf
GCA_000985935.1 147987 948087
GCA_013401115.1 4714 Inf
GCA_001691755.2 158615 87676
GCA_013401135.1 4554 Inf
GCA_013396365.1 4752 Inf
GCA_002895965.2 1284 Inf
GCA_003709845.1 Inf Inf
GCA_003339415.1 Inf Inf
GCA_018360435.1 Inf Inf
GCA_002591415.1 Inf Inf
GCA_013400295.1 167161 Inf
GCA_027579175.1 Inf Inf
GCA_911693285.1 Inf Inf
GCA_003947005.1 147305 Inf
GCA_023678865.1 114010 Inf
GCA_943334845.2 20512 21015
GCA_014621405.1 Inf Inf
GCA_013400155.1 4128 Inf
GCA_018360355.1 Inf Inf
GCA_013396455.1 4239 Inf
GCA_013398405.1 Inf Inf
GCA_027627245.1 66699 Inf
GCA_013397095.1 4180 Inf
GCA_027595785.1 62807 37648
GCA_024741835.1 24032 24372
GCA_024244055.1 Inf Inf
GCA_018361025.1 6185 Inf
GCA_013398575.1 4213 Inf
GCA_013400795.1 4698 Inf
GCA_900536885.1 100894 Inf
GCA_030341885.1 Inf 57731
GCA_002914805.1 Inf 1514
GCA_027578575.1 Inf Inf
GCA_013399795.1 4160 Inf
GCA_017366145.1 Inf Inf
GCA_027579155.1 20393 Inf
GCA_022813785.1 Inf Inf
GCA_018360275.1 Inf Inf
GCA_023231475.1 Inf Inf
GCA_004802705.1 Inf Inf
GCA_013399915.1 4151 Inf
GCA_000750895.1 10857 Inf
GCA_003795315.1 53761 Inf
GCA_027604505.1 22170 296443
GCA_030142185.1 Inf Inf
GCA_027886305.1 Inf Inf
GCA_016880985.1 40199 Inf
GCA_013398795.1 3894 Inf
GCA_013266195.1 Inf Inf
GCA_022813925.1 Inf 9320
GCA_027595885.1 Inf Inf
GCA_019049445.1 Inf Inf
GCA_018360215.1 7032 Inf
GCA_021223935.1 Inf Inf
GCA_010080425.1 4742 Inf
GCA_004786225.1 Inf Inf
GCA_001263195.1 Inf Inf
GCA_022750515.1 50986 11174
GCA_023647555.1 12086 Inf
GCA_024195185.1 Inf Inf
GCA_030267725.1 50867 Inf
GCA_014235935.1 50775 Inf
GCA_013398915.1 4864 Inf
GCA_018360575.1 Inf Inf
GCA_021223985.1 Inf Inf
GCA_013399635.1 4144 Inf
GCA_027604365.1 8778 Inf
GCA_013390005.1 3425 Inf
GCA_022085475.1 Inf 1326
GCA_013401295.1 4874 Inf
GCA_001578225.1 Inf Inf
GCA_013401065.1 4839 Inf
GCA_002762385.1 Inf 1455
GCA_026023695.1 Inf Inf
GCA_000313525.1 Inf Inf
GCA_003698115.1 50046 Inf
GCA_013400275.1 4166 Inf
GCA_013399055.1 4098 Inf
GCA_905329745.1 Inf Inf
GCA_905338385.1 1131 Inf
GCA_009761265.1 Inf Inf
GCA_029218145.1 Inf Inf
GCA_007821475.1 Inf Inf
GCA_018360145.1 Inf 19068
GCA_019973955.1 Inf Inf
GCA_013305925.1 Inf Inf
GCA_013398155.1 4819 Inf
GCA_004367935.1 Inf Inf
GCA_015039395.1 Inf 66659
GCA_018360345.1 Inf Inf
GCA_000750805.1 6651 Inf
GCA_905250125.1 Inf Inf
GCA_020536535.1 Inf Inf
GCA_013401215.1 Inf Inf
GCA_013399565.1 4394 Inf
GCA_013266265.1 42847 Inf
GCA_002916505.1 Inf Inf
GCA_002287525.1 Inf Inf
GCA_026025795.1 Inf 6209
GCA_013266205.1 Inf Inf
GCA_023646075.1 Inf Inf
GCA_029204185.1 6246 Inf
GCA_018296085.1 Inf Inf
GCA_017607545.1 Inf Inf
GCA_015529515.1 29569 Inf
GCA_002938385.1 Inf Inf
GCA_905250115.1 Inf Inf
GCA_018360205.1 70274 Inf
GCA_905338405.1 1325 Inf
GCA_016097715.1 Inf Inf
GCA_016098085.1 43833 Inf
GCA_015529505.1 Inf Inf
GCA_013397665.1 4509 Inf
GCA_027627405.1 Inf Inf
GCA_002938355.1 54342 Inf
GCA_009835185.1 Inf Inf
GCA_013054445.1 Inf Inf
GCA_025026875.1 123882 2111
GCA_018858115.1 Inf Inf
GCA_027578295.1 Inf Inf
GCA_007821535.1 Inf Inf
GCA_016098035.1 34382 Inf
GCA_019616945.1 Inf Inf
GCA_011009095.1 Inf Inf
GCA_018282005.1 Inf 157104
GCA_027577275.1 Inf Inf
GCA_006783055.1 9725 Inf
GCA_018360385.1 Inf Inf
GCA_023645975.1 Inf 9460
GCA_018360375.1 Inf Inf
GCA_013399395.1 3528 Inf
GCA_023645815.1 Inf 25202
GCA_023646635.1 35797 Inf
GCA_004679275.1 Inf Inf
GCA_000750925.1 Inf Inf
GCA_023647215.1 Inf Inf
GCA_030267965.1 Inf Inf
GCA_001633055.2 665784 3071514
GCA_018360075.1 Inf Inf
GCA_004367215.1 53938 127118
GCA_014805555.1 Inf Inf
GCA_013396675.1 4131 Inf
GCA_002087915.1 Inf Inf
GCA_000956335.1 Inf 65437
GCA_013396435.1 4765 Inf
GCA_027604545.1 Inf Inf
GCA_003260655.2 803240 763
GCA_027946425.1 Inf Inf
GCA_023646325.1 Inf Inf
GCA_013397635.1 5505 Inf
GCA_014764975.2 Inf Inf
GCA_027604005.1 Inf Inf
GCA_013401315.1 4609 Inf
GCA_000750935.1 Inf Inf
GCA_027578875.1 Inf Inf
GCA_023646255.1 Inf Inf
GCA_027597005.1 Inf Inf
GCA_001275005.1 Inf Inf
GCA_000750875.1 6779 Inf
GCA_019968955.1 Inf Inf
GCA_013400895.1 4776 Inf
GCA_012931995.1 Inf Inf
GCA_002591395.1 Inf Inf
GCA_000750755.1 Inf Inf
GCA_910592015.1 Inf Inf
GCA_023515795.1 Inf Inf
GCA_027578855.1 Inf Inf
GCA_007825325.1 Inf Inf
GCA_015502465.1 Inf Inf
GCA_003549995.1 Inf Inf
GCA_017607575.1 Inf Inf
GCA_910592345.1 Inf Inf
GCA_027596035.1 Inf Inf
GCA_015502475.1 Inf Inf
GCA_016984175.1 1210 Inf
GCA_015499985.1 Inf Inf
GCA_002901185.1 15211 Inf
GCA_019968985.1 Inf Inf
GCA_001272575.2 Inf Inf
GCA_015852425.1 Inf Inf
GCA_000750795.1 Inf Inf
GCA_027596195.1 1466 1311
GCA_904859935.1 Inf Inf
GCA_027478255.1 Inf Inf
GCA_030267785.1 Inf Inf
GCA_016098045.1 Inf Inf
GCA_027579235.1 76197 Inf
GCA_027578635.1 62543 Inf
GCA_001692915.1 Inf Inf
GCA_018282025.1 Inf Inf
GCA_000750665.1 Inf Inf
GCA_001014755.1 Inf Inf
GCA_000750995.1 Inf Inf
GCA_002600585.1 Inf Inf
GCA_022814065.1 Inf 3157
GCA_000750735.1 Inf 2287
GCA_023645885.1 Inf Inf
GCA_027577335.1 Inf Inf
GCA_019632285.1 35367 216256
GCA_015502455.1 Inf Inf
GCA_000750745.1 Inf Inf
GCA_007825345.1 Inf Inf
GCA_001747045.1 20318 20785
GCA_027600665.1 Inf Inf
GCA_027578095.1 Inf Inf
GCA_030267985.1 Inf Inf
GCA_027577815.1 Inf Inf
GCA_027577535.1 20475 2663
GCA_017607525.1 3081629 Inf
GCA_027575275.1 Inf 38177
GCA_001702395.2 Inf Inf
GCA_027578395.1 Inf Inf
GCA_015502445.1 Inf Inf
GCA_905231905.1 Inf Inf
GCA_027579135.1 Inf Inf
GCA_000750675.1 Inf Inf
GCA_001662595.1 Inf Inf
GCA_027595805.1 Inf Inf
GCA_012184355.1 47229 777908
GCA_013399535.1 4909 Inf
GCA_027577415.1 Inf Inf
GCA_019633595.1 Inf Inf
GCA_001460835.1 Inf Inf
GCA_019632265.1 35369 Inf
GCA_001970855.1 25427 Inf
GCA_027627275.1 Inf Inf
GCA_004681135.1 Inf Inf
GCA_015502485.1 Inf Inf
GCA_026023795.1 Inf Inf
GCA_018360365.1 1718 Inf
GCA_018360135.1 Inf Inf
GCA_013400535.1 5097 Inf
GCA_022814045.1 Inf Inf
GCA_003675995.1 747 Inf
GCA_958430865.1 Inf Inf
GCA_001953115.1 Inf Inf
GCA_910592205.1 Inf Inf
GCA_027604605.1 Inf Inf
GCA_013399335.1 4688 Inf
GCA_027577135.1 Inf Inf
GCA_001712635.2 Inf 2773
GCA_002591385.1 Inf Inf
GCA_027578815.1 Inf Inf
GCA_027575325.1 Inf Inf
GCA_018360225.1 Inf Inf
GCA_013401355.1 3239 Inf
GCA_027577195.1 Inf Inf
GCA_023645945.1 Inf Inf
GCA_027578695.1 Inf Inf
GCA_015679515.1 Inf Inf
GCA_026770575.1 Inf 1047
GCA_023645895.1 Inf Inf
GCA_026027315.1 Inf Inf
GCA_016098025.1 Inf Inf
GCA_027577745.1 19329 Inf
GCA_027579605.1 Inf Inf
GCA_027576955.1 Inf Inf
GCA_001563735.1 Inf Inf
GCA_013400855.1 Inf Inf
GCA_029590615.1 Inf Inf
GCA_003719485.1 Inf Inf
GCA_002081605.1 Inf Inf
GCA_018360185.1 Inf Inf
GCA_027579255.1 Inf Inf
GCA_015679545.1 Inf Inf
GCA_902459845.2 Inf Inf
GCA_027576935.1 Inf Inf
GCA_000982615.1 726002 370975
GCA_029590625.1 Inf Inf
GCA_019623705.1 Inf Inf
GCA_019616345.1 Inf Inf
GCA_902602495.3 Inf 2491
GCA_015529795.1 Inf Inf
GCA_905250885.1 Inf Inf
GCA_004000155.1 Inf Inf
GCA_023646375.1 Inf Inf
GCA_002918395.1 Inf Inf
GCA_027579055.1 Inf Inf
GCA_015502575.1 Inf Inf
GCA_027577115.1 Inf Inf
GCA_905231915.1 Inf Inf
GCA_019616975.1 Inf Inf
GCA_023646395.1 Inf Inf
GCA_015679695.1 Inf Inf
GCA_003990785.1 Inf Inf
GCA_022627015.2 Inf Inf
GCA_019632305.1 Inf 31157
GCA_905221635.1 Inf Inf
GCA_015500005.1 Inf Inf
GCA_017607565.1 Inf Inf
GCA_004369235.1 Inf Inf
GCA_027577675.1 Inf Inf
GCA_001875675.1 Inf Inf
GCA_016097895.1 Inf Inf
GCA_022814155.1 Inf Inf
GCA_946474995.1 Inf Inf
GCA_004325065.1 Inf Inf
GCA_900000165.1 123587 33751
GCA_910591945.1 Inf Inf
GCA_002240705.1 Inf Inf
GCA_015679585.1 Inf Inf
GCA_910591915.1 Inf Inf
GCA_910591825.1 Inf Inf
GCA_018854895.1 1389 Inf
GCA_030347285.1 385059 1547461
GCA_008271595.1 Inf Inf
GCA_027578355.1 102024 Inf
GCA_015832245.1 Inf Inf
GCA_000950595.1 Inf Inf
GCA_016618355.2 Inf Inf
GCA_018857285.1 Inf 79451
GCA_027577215.1 Inf Inf
GCA_014805705.1 Inf Inf
GCA_023646655.1 Inf Inf
GCA_013399775.1 4119 Inf
GCA_019627725.1 Inf Inf
GCA_001457755.2 Inf Inf
GCA_027577255.1 Inf Inf
GCA_019633455.1 Inf Inf
GCA_019633495.1 Inf Inf
GCA_000750715.1 Inf Inf
GCA_910592055.1 Inf Inf
GCA_027578315.1 Inf Inf
GCA_019632295.1 Inf Inf
GCA_027577345.1 19433 Inf
GCA_007825375.1 Inf Inf
GCA_019633465.1 Inf Inf
GCA_014220965.1 Inf Inf
GCA_018857265.1 Inf Inf
GCA_019616325.1 Inf Inf
GCA_024243955.1 Inf Inf
GCA_001882365.1 Inf Inf
GCA_023645955.1 Inf Inf
GCA_027577455.1 Inf Inf
GCA_027578515.1 19433 Inf
GCA_910591965.1 Inf Inf
GCA_027578495.1 Inf Inf
GCA_019623665.1 Inf Inf
GCA_003086725.1 11379 Inf
GCA_019627685.1 Inf Inf
GCA_027577375.1 Inf Inf
GCA_019633405.1 Inf Inf
GCA_003097675.1 11379 Inf
GCA_002891735.1 Inf Inf
GCA_024244195.1 Inf Inf
GCA_018855915.1 Inf Inf
GCA_019627745.1 Inf Inf
GCA_027578115.1 Inf Inf
GCA_019623675.1 Inf Inf
GCA_019677335.1 Inf Inf
GCA_019627755.1 Inf Inf
GCA_027578475.1 Inf Inf
GCA_027579505.1 Inf 147
GCA_013396815.1 4995 Inf
GCA_027577015.1 Inf Inf
GCA_027579035.1 Inf Inf
GCA_027577835.1 Inf Inf
GCA_027578335.1 Inf Inf
GCA_027578935.1 Inf Inf
GCA_027579465.1 Inf Inf
GCA_027578275.1 Inf Inf
GCA_019627735.1 Inf Inf
GCA_027578155.1 Inf Inf
GCA_027604405.1 27562 Inf
GCA_027578715.1 Inf Inf
GCA_027577855.1 Inf Inf
GCA_027577435.1 Inf Inf
GCA_024244165.1 Inf Inf
GCA_027578535.1 Inf Inf
GCA_027578255.1 Inf Inf
GCA_027575375.1 Inf Inf
GCA_027577725.1 Inf Inf
GCA_016256075.1 Inf Inf
GCA_019677385.1 Inf Inf
GCA_027577765.1 Inf Inf
GCA_905368565.1 1469 Inf
GCA_027577695.1 Inf Inf
GCA_024244615.1 Inf Inf
GCA_027575385.1 Inf Inf
GCA_019649035.1 20070 Inf
GCA_910591835.1 Inf Inf
GCA_003614705.1 Inf Inf
GCA_905397405.1 Inf Inf
GCA_027579015.1 Inf Inf
GCA_027578235.1 Inf Inf
GCA_027578215.1 Inf Inf
GCA_026770615.1 9886 Inf
GCA_027575405.1 Inf Inf
GCA_027577575.1 Inf Inf
GCA_910591765.1 Inf Inf
GCA_027576915.1 Inf Inf
GCA_027578795.1 Inf Inf
GCA_023529015.1 Inf Inf
GCA_027578015.1 Inf Inf
GCA_027604625.1 Inf Inf
GCA_027575465.1 Inf Inf
GCA_018857305.1 Inf Inf
GCA_027577615.1 Inf Inf
GCA_027575815.1 Inf Inf
GCA_019677355.1 Inf Inf
GCA_018856295.1 Inf Inf
GCA_027577155.1 Inf Inf
GCA_027578075.1 Inf Inf
GCA_027577515.1 Inf Inf
GCA_026770585.1 Inf Inf
GCA_027575725.1 Inf Inf
GCA_008636045.1 Inf Inf
GCA_024195485.1 Inf Inf
GCA_024195465.1 Inf Inf
GCA_910592325.1 Inf Inf
GCA_910591775.1 Inf Inf
GCA_001263375.1 Inf Inf
GCA_026954515.1 Inf Inf
GCA_027577235.1 Inf Inf
GCA_910592135.1 Inf Inf
GCA_027577955.1 Inf Inf
GCA_027575545.1 Inf Inf
GCA_027575425.1 Inf Inf
GCA_027575525.1 Inf Inf
GCA_027577715.1 Inf Inf
GCA_027575625.1 Inf Inf
GCA_027577845.1 Inf Inf
GCA_903986555.1 Inf Inf
GCA_019616915.1 Inf Inf
GCA_018855395.1 Inf Inf
GCA_027577095.1 Inf Inf
GCA_027578055.1 Inf Inf
GCA_027579295.1 Inf Inf
GCA_027578195.1 Inf Inf
GCA_027579215.1 Inf Inf
GCA_900618415.1 Inf Inf
GCA_905359515.1 Inf Inf
GCA_030267505.1 Inf Inf
GCA_027575745.1 Inf Inf
GCA_013358455.1 Inf 2255
GCA_027577775.1 Inf Inf
GCA_027578035.1 Inf Inf
GCA_000512085.1 Inf Inf
GCA_013400675.1 4216 Inf
GCA_027577655.1 Inf Inf
GCA_027575305.1 Inf Inf
GCA_027575335.1 Inf Inf
GCA_027577995.1 Inf Inf
GCA_027579275.1 Inf Inf
GCA_027577395.1 Inf Inf
GCA_027577075.1 Inf Inf
GCA_030267625.1 Inf 681
GCA_000690575.1 Inf Inf
GCA_027577315.1 Inf Inf
GCA_027577975.1 Inf Inf
GCA_027575355.1 Inf Inf
GCA_027577555.1 Inf Inf
GCA_027577635.1 Inf Inf
GCA_003086735.1 Inf Inf
GCA_910592285.1 Inf Inf
GCA_027578135.1 61542 Inf
GCA_027578455.1 Inf Inf
GCA_027577795.1 Inf Inf
GCA_002157105.1 Inf Inf
GCA_027577475.1 Inf Inf
GCA_027578435.1 Inf Inf
GCA_016255985.1 Inf Inf
GCA_027578175.1 Inf Inf
GCA_026955015.1 Inf Inf
GCA_024244595.1 Inf Inf
GCA_027578655.1 35154 Inf
GCA_027575855.1 Inf Inf
GCA_003086715.1 Inf Inf
GCA_027596175.1 Inf Inf
GCA_902206195.3 714129 715
GCA_900618025.1 Inf Inf
GCA_027578735.1 61280 Inf
GCA_027578595.1 Inf Inf
GCA_900617795.1 Inf Inf
GCA_027478835.1 Inf Inf
GCA_010108815.1 Inf Inf
GCA_002135145.1 Inf Inf
GCA_003490085.1 Inf Inf
GCA_900002335.2 76818 395626
GCA_007993695.1 158872 48778
GCA_029203305.1 82285 56687
GCA_903819175.2 88313 95997
GCA_903819145.2 56193 Inf
GCA_903819135.2 56526 244838
GCA_903819125.2 56535 94918
GCA_903819205.2 86712 94554
GCA_903819155.2 61947 102244
GCA_903819195.2 62230 92430
GCA_022832995.1 303590 33807
GCA_004346965.1 134403 333471
GCA_020450195.1 134420 125938
GCA_020450235.1 134420 125938
GCA_020450265.1 134420 125938
GCA_020450215.1 134420 125938
GCA_014217725.1 134388 126286
GCA_900073075.1 83794 410448
GCA_022201065.1 1609815 1473
GCA_014784225.2 64276 186873
GCA_009017415.1 64276 186819
GCA_016809505.1 27785 24084
GCA_008275145.1 17358 29946
GCA_019332045.1 9583 30021
GCA_014490615.1 23843 366971
GCA_001761485.1 23877 360188
GCA_001854445.2 80453 32238
GCA_001417835.1 80759 32304
GCA_003719575.1 16146 253221
GCA_900635355.2 29566 Inf
GCA_916722125.1 47123 Inf
GCA_900235035.2 393086 203048
GCA_020647795.1 333594 86720
GCA_008080495.1 579554 604058
GCA_020844765.3 77748 Inf
GCA_020647865.1 314419 75742
GCA_900500625.2 29582 250806
GCA_015245375.1 2984 6575
GCA_021901655.1 227733 17922
GCA_009498055.1 25052 5732
GCA_009498135.1 25052 5732
GCA_009498075.1 25052 5732
GCA_009498115.1 25052 5732
GCA_009498095.1 25052 5732
GCA_027557585.1 11069 Inf
GCA_947243805.1 11069 Inf
GCA_017310585.1 299956 419143
GCA_017355575.1 146440 282380
GCA_017310615.1 31777 952311
GCA_030272055.1 164144 2614
GCA_026914245.1 763150 518882
GCA_016767815.1 74849 154603
GCA_020647635.1 179316 97090
GCA_020647705.1 185095 96706
GCA_016865315.1 203494 85815
GCA_018416015.2 364828 28230
GCA_900537975.1 113155 338589
GCA_946405395.1 72198 40726
GCA_946408725.1 72443 40740
GCA_016952305.1 223100 864267
GCA_019332025.1 3624 96576
GCA_947243785.1 48502 230442
GCA_027571585.1 8790 25448
GCA_003072545.3 60145 69092
GCA_004011695.2 120033 736341
GCA_013426205.1 812726 52284
GCA_000968835.1 40653 97288
GCA_007859695.1 228673 597
