Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCA_014898425.1	ASM1489842v1	Botryotinia globosa		MUCL 444					Annotation submitted by Wageningen University	45684854	Contig	10/20/20	RCSZ01	2511391								PacBio Sequel	Wageningen University	PRJNA494516	SAMN10219763	12067	12067		
GCA_029532415.1	USDA_Mten_1.0	Marasmius tenuissimus				Morphotype C	GH-37		Annotation submitted by USDA ARS	71059515	Scaffold	3/31/23	JAQOTA01	2478824	2478824							PacBio Sequel 1; Illumina HiSeq 2000	USDA ARS	PRJNA927040	SAMN32900972	24991	24462		529
GCA_021018615.1	PhlFC14_2	Phlebopus sp. FC_14		FC_14					Annotation submitted by DOE Joint Genome Institute	36096188	Contig	12/1/21	JAEVFL01	2478283								PacBio	DOE Joint Genome Institute	PRJNA568557	SAMN12822189	9510	9409	1	100
GCA_020310465.1	ASM2031046v1	Lanmaoa asiatica		LA01					Annotation submitted by INRAE	46638161	Contig	10/6/21	JAHSQE01	2448093								PacBio Sequel	INRAE	PRJNA713310	SAMN18241879	9982	9667	12	125
GCA_020746875.1	Rhesp1	Rhexocercosporidium sp. MPI-PUGE-AT-0058		MPI-PUGE-AT-0058					Annotation submitted by DOE Joint Genome Institute	62745254	Contig	11/5/21	JAGTJL01	2439245								PacBio RSII	DOE Joint Genome Institute	PRJNA347195	SAMN05878446	16809	16721	6	82
GCA_022432365.1	HyFL1284_2	Hypoxylon sp. FL1284		FL1284					Annotation submitted by DOE Joint Genome Institute	37089996	Contig	3/1/22	JAJJXE01	2321875									DOE Joint Genome Institute	PRJNA583318	SAMN13190176	11055	10896	7	152
GCA_907166805.1	ALTATR162	Alternaria atra					CS162		Annotation submitted by TECHNICAL UNIVERSITY MUNICH	39606256	Scaffold	5/15/21	CAJRGZ01	2320100	3893166								TECHNICAL UNIVERSITY MUNICH	PRJEB42493	SAMEA7819814	12173	12173		
GCA_020744155.1	Ilyeu1	Ilyonectria sp. MPI-CAGE-AT-0026		MPI-CAGE-AT-0026					Annotation submitted by DOE Joint Genome Institute	62828295	Contig	11/4/21	JAGPNQ01	2311083								PacBio SEQUEL	DOE Joint Genome Institute	PRJNA347186	SAMN05878031	21075	20868	6	201
GCA_900408965.1	fSimDia1.1	Simochromis diagramma								848827444	Scaffold	6/18/18	OVJJ01	2231376	8960300								SC	PRJEB26682	SAMEA104026415				
GCA_027946365.1	ASM2794636v1	Kalmusia sp. IMI 367209		IMI 367209					"Annotation submitted by Royal Botanic Gardens, Kew"	42784582	Contig	1/24/23	JAPEUQ01	2200773								Illumina NovaSeq; Oxford Nanopore MinION	"Royal Botanic Gardens, Kew"	PRJNA786750	SAMN30184427	13561	13458		103
GCA_949357655.1	NO1_Genome_Updated	Parascedosporium putredinis							Annotation submitted by CNAP	39039452	Contig	4/4/23	CASHTG01	2133997								MinION	CNAP	PRJEB60285	SAMEA112696369	9810	9629		158
GCA_004156025.2	ASM415602v2	Alternaria gaisen		FERA 650					Harrison Lab NIAB-EMR Release 2.01	34346950	Contig	10/8/19	PDWZ02	2110033								Oxford Nanopore MiniION; Illumina MiSeq	NIAB-East Malling Research	PRJNA360212	SAMN06205220	13168	13150	18	
GCA_013368445.1	LU_LEL_1.0	Leucoagaricus leucothites		CBS 146.42					Annotation submitted by Lund University	47309141	Contig	6/23/20	JAACJO01	2102411								PacBio RSII	Lund University	PRJNA496460	SAMN10245915	11537	11537		
GCA_946122785.1	Linum_tenue_thrum_v1	Linum tenue							Annotation submitted by Stockholm University	692364448	Scaffold	9/11/22	CAMGYJ01	2068386	69330625								Stockholm University	PRJEB52918	SAMEA110422887	52052	52051	1	
GCA_014461115.1	ASM1446111v1	Mycena chlorophos		110903Hualien_Pintung					Annotation submitted by Academia Sinica	50883660	Contig	9/3/20	JACAZE01	2002699								Oxford Nanopore MinION; Illumina	Academia Sinica	PRJNA623720	SAMN14825420	13505	13505		
GCA_016508695.1	ASM1650869v1	Hyphodiscus hymeniophilus		ATCC 34498					Annotation submitted by University of Toronto	35099609	Contig	1/5/21	VNKQ01	1935564								PacBio RS	University of Toronto	PRJNA486772	SAMN09863599	8215	8215		
GCA_019650235.1	Vretifemale_1.0	Volvox reticuliferus		NIES-3785				female	"Annotation submitted by Laboratory of Origin of Eukaryote Biodiversity, Department of Biological Sciences, Graduate School of Science, University of Tokyo"	133065142	Contig	3/2/21	BNCP01	1907605								PacBio; Illumina HiSeq2500	"Laboratory of Origin of Eukaryote Biodiversity, Department of Biological Sciences, Graduate School of Science, University of Tokyo"	PRJDB10402	SAMD00239600	13306	13306		
GCA_000825705.1	Allpaths-LG	[Torrubiella] hemipterigena							Annotation submitted by HKI JENA	28476206	Scaffold	12/5/14	CDHN01	1897739	6006343								HKI JENA	PRJEB7402	SAMEA2794686	10773	10773		
GCA_024043145.1	ASM2404314v1	Alternaria conjuncta		BMP 0040					Annotation submitted by Cornell University	36109959	Scaffold	6/29/22	JAFVMB01	1896824	1896824							Illumina HiSeq	Cornell University	PRJNA706766	SAMN18144507	11758	11648		110
GCA_958450365.1	M.belari Hybrid genome bis	Mesorhabditis belari		JU2817					Annotation submitted by LBMC UMR5239	208960405	Scaffold	7/18/23	CAUEEP01	1881141	1881141							"Illumina HiSeq 4000,MinION"	LBMC UMR5239	PRJEB61636	SAMEA5150020	21929	21911	18	
GCA_902141235.2	C_solani_1703	Clonostachys solani							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	54492124	Contig	11/18/21	CABFOC02	1837679									SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	PRJEB32493	SAMEA5663346	18271	18029		242
GCA_947670415.1	canVerA	Candida verbasci							"Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics"	12165646	Contig	12/25/22	CANTUO01	1775161								"OXFORD_NANOPORE,ILLUMINA"	"Comenius University, Faculty of Mathematics, Physics and Informatics"	PRJEB56292	SAMEA111396568	5313	5313		
GCA_027946355.1	ASM2794635v1	Collariella sp. IMI 366227		IMI 366227					"Annotation submitted by Royal Botanic Gardens, Kew"	29308369	Contig	1/24/23	JAPEUS01	1760284								Illumina NovaSeq; Oxford Nanopore MinION	"Royal Botanic Gardens, Kew"	PRJNA786750	SAMN30184425	8224	7972		252
GCA_001651985.1	ASM165198v1	Fonsecaea erecta		CBS 125763					Annotation submitted by Federal University of Parana	34747975	Scaffold	5/25/16	LVYI01	1716765	2675113							Illumina MiSeq; IonTorrent	Federal University of Parana	PRJNA312449	SAMN04497957	12120	12090		30
GCA_018257855.2	ASM1825785v2	Cladonia borealis		ANT050790					Annotation submitted by Sunchon National University	36013978	Contig	7/12/23	JAFEKC02	1657173								PacBio RSII	Sunchon National University	PRJNA693578	SAMN17391798	10749	10749		
GCA_019044685.2	LANL_Cdes_v1.1	Chlorella desiccata (nom. nud.)		UTEX 2526					Annotation submitted by Los Alamos National Laboratory	21550525	Contig	11/8/21	JAGTXX02	1641916								PacBio Sequel	Los Alamos National Laboratory	PRJNA722310	SAMN18751845	9308	9308		
GCA_020747045.1	Phapo1	Phaeosphaeria sp. MPI-PUGE-AT-0046c		MPI-PUGE-AT-0046c					Annotation submitted by DOE Joint Genome Institute	34077024	Contig	11/5/21	JAGTJN01	1632279								PacBio SEQUEL	DOE Joint Genome Institute	PRJNA459235	SAMN10188275	12888	12804	7	77
GCA_027946455.1	ASM2794645v1	Neocucurbitaria cava		IMI 356814					"Annotation submitted by Royal Botanic Gardens, Kew"	34846001	Contig	1/24/23	JAPEUY01	1616366								Illumina NovaSeq; Oxford Nanopore MinION	"Royal Botanic Gardens, Kew"	PRJNA786750	SAMN30184418	11048	10938		110
GCA_016834605.1	ASM1683460v1	Chlamydomonas incerta		SAG 7.73					Annotation submitted by University of Edinburgh	129236421	Contig	2/8/21	JAEHOC01	1576468								PacBio Sequel	University of Edinburgh	PRJNA633871	SAMN14973062	16350	16350		
GCA_022343325.1	CAIQ.LN.1	Plenodomus biglobosus		CA1					Annotation submitted by Chinese Academy of Inspection and Quarantine	32631215	Contig	2/18/22	JACTNT01	1445566								Illumina HiSeq; Oxford Nanopore MinION	Chinese Academy of Inspection and Quarantine	PRJNA660251	SAMN15952996	12195	12183		12
GCA_900102585.1	MvSof1	Microbotryum saponariae							Annotation submitted by ESE	28653577	Contig	6/18/18	FMWQ01	1443984									ESE	PRJEB16016	SAMEA4505384	10587	10587		
GCA_001643675.2	ASM164367v2	Monocercomonoides exilis		PA203					Annotation submitted by Charles University in Prague	82301135	Contig	11/22/21	LSRY02	1379369								Oxford Nanopore MinION; Illumina MiSeq	Charles University in Prague	PRJNA304271	SAMN04297179	18152	18152		
GCA_026901365.1	ASM2690136v1	Sesbania bispinosa			Dhaincha-73				Annotation submitted by Bangladesh Jute Research Institute	1038494862	Contig	12/14/22	QLOH01	1360972								PacBio	Bangladesh Jute Research Institute	PRJNA475612	SAMN09405563	51371	48965	739	1667
GCA_026023875.1	ASM2602387v1	Bathelium mastoideum					Aptroot 80729/TS-e1944		Annotation submitted by University of Alberta	32740561	Contig	11/7/22	JAPETJ01	1347222								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762794	10071	10035		36
GCA_025563575.1	ASM2556357v1	Acacia pycnantha							Annotation submitted by Genomics for Australian Plants	814422446	Scaffold	10/6/22	JAMWYP01	1331264	2821098							Oxford Nanopore PromethION; Illumina	Genomics for Australian Plants	PRJNA752212	SAMN20587791	47624	47624		
GCA_027946495.1	ASM2794649v1	Didymella sp. IMI 355093		IMI 355093					"Annotation submitted by Royal Botanic Gardens, Kew"	31528740	Contig	1/24/23	JAPEUZ01	1301886								Illumina NovaSeq; Oxford Nanopore MinION	"Royal Botanic Gardens, Kew"	PRJNA786750	SAMN30184417	9918	9757	1	160
GCA_029955175.1	MPICE_EAD1	Exocentrus adspersus					EAD_L_NR		Annotation submitted by Max Planck Institute for Chemical Ecology	257536703	Contig	5/8/23	JANEYG01	1296204								Oxford Nanopore MinION	Max Planck Institute for Chemical Ecology	PRJNA609440	SAMN14253363	17599	16908	421	270
GCA_026023805.1	ASM2602380v1	Candelina mexicana					AC779/DDE408		Annotation submitted by University of Alberta	33725466	Contig	11/7/22	JAPETP01	1285227								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762781	8212	8168		44
GCA_025209345.1	ASM2520934v1	Picochlorum sp. BPE23		BPE23					Annotation submitted by Wageningen University	14824110	Contig	9/15/22	JANSVD01	1257599								Illumina; PacBio	Wageningen University	PRJNA841944	SAMN27400744	7227	7227		
GCA_023758125.1	ASM2375812v1	Alternaria sp. Ai002NY15		Ai002NY15					Annotation submitted by Cornell University	36921486	Scaffold	6/17/22	JAFVLO01	1255567	1255567							Illumina HiSeq	Cornell University	PRJNA706766	SAMN18144520	11148	11042		106
GCA_024663435.1	Pismi_AB1_1	Pisolithus sp. B1		B1					Annotation submitted by DOE Joint Genome Institute	64705422	Contig	8/12/22	JANFAA01	1241560								PacBio	DOE Joint Genome Institute	PRJNA571616	SAMN12811582	12812	12451	11	350
GCA_002946425.1	ASM294642v1	Rutstroemia sp. NJR-2017a BBW		NJR-2017a BBW					Annotation submitted by Brigham Young University	41919240	Contig	2/26/18	NJPT01	1238013								Illumina-Hiseq	Brigham Young University	PRJNA389323	SAMN07205145	11464	10975	489	
GCA_916048055.1	Pedinophyceae_YPF-701_genome	Pedinophyceae sp. YPF-701		YPF-701					Annotation submitted by UNIVERSITY OF MELBOURNE	27899919	Contig	2/18/22	CAJZHL01	1232795									UNIVERSITY OF MELBOURNE	PRJEB47395	SAMEA9576353	7940	7940		
GCA_022179045.1	Cspa_1.0	Colletotrichum liriopes		MAFF 242679					Annotation submitted by The University of Tokyo	52972150	Contig	1/6/22	BPPX01	1221453								PacBio RS2	The University of Tokyo	PRJDB11870	SAMD00407042	14483	14012		471
GCA_014905825.1	Lyoat1	Lyophyllum atratum		CBS 144462					Annotation submitted by DOE Joint Genome Institute	64896558	Contig	10/22/20	JACGCN01	1212218								PacBio	DOE Joint Genome Institute	PRJNA556458	SAMN15434292	15747	15046	49	652
GCA_948144175.1	Genome assembly Closterium sp. NIES-65	Closterium sp. NIES-65		NIES-65					Annotation submitted by tokyo university	876339800	Scaffold	6/17/23	CANXME01	1206981	1233613							"PacBio Sequel, Illumina HiSeq 3000"	tokyo university	PRJEB57781	SAMEA112298761	40587	40587		
GCA_016834595.1	ASM1683459v1	Chlamydomonas schloesseri		CCAP 11/173					Annotation submitted by University of Edinburgh	130201002	Contig	2/8/21	JAEHOD01	1206536								PacBio Sequel	University of Edinburgh	PRJNA633871	SAMN14973063	15571	15571		
GCA_030247875.1	UCR_TK_41	Cladophialophora chaetospira		TK_41					"Annotation submitted by University of California, Riverside"	35553408	Scaffold	6/9/23	JAPDRK01	1145873	1635382							Illumina MiSeq	"University of California, Riverside"	PRJNA631111	SAMN14852391	13675	13629		46
GCA_020102295.1	ASM2010229v1	Metarhizium humberi		ESALQ1638					Annotation submitted by NIBIO	38586956	Scaffold	9/23/21	JACEFI01	1136189	1409135							Illumina HiSeq 2500 paired-end; Illumina HiSeq 2500 mate-pair 3 and 5kb	NIBIO	PRJNA639668	SAMN15244817	10633	10546	87	
GCA_021399455.1	FlaPMI526_1	Flagelloscypha sp. PMI_526		PMI_526					Annotation submitted by DOE Joint Genome Institute	72728845	Contig	1/10/22	JAJTUO01	1132480								PacBio	DOE Joint Genome Institute	PRJNA243949	SAMN02744647	20061	19928	3	130
GCA_029963805.1	MPICE_AMO_1	Aromia moschata					AMC_N1		Annotation submitted by Max Planck Institute for Chemical Ecology	687741594	Contig	5/10/23	JAPWTK01	1105269								Oxford Nanopore MinION	Max Planck Institute for Chemical Ecology	PRJNA609440	SAMN14253353	23665	22158	729	778
GCA_001606155.1	ASM160615v1	Tieghemostelium lacteum		TK					Annotation submitted by University of Cologne	23375662	Contig	4/4/16	LODT01	1098390								454; Sanger dideoxy sequencing	University of Cologne	PRJNA305239	SAMN04320757	10282	10225	1	56
GCA_022593225.1	XyFL0064_1	Xylaria sp. FL0064		FL0064					Annotation submitted by DOE Joint Genome Institute	42828802	Contig	3/16/22	JAJKLE01	1096396								PacBio	DOE Joint Genome Institute	PRJNA583324	SAMN13190038	12238	12075		163
GCA_014898535.1	ASM1489853v1	Botrytis deweyae		B1					Annotation submitted by Wageningen University	44366920	Contig	10/20/20	RCSX01	1076441								PacBio Sequel	Wageningen University	PRJNA494516	SAMN10219761	12469	12469		
GCA_914767885.1	Bstoltei_ATCC30299_MIC_1.0	Blepharisma stoltei		ATCC 30299					Annotation submitted by MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	54657046	Contig	7/1/22	CAJZBQ01	1038890									MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	PRJEB46944	SAMEA9534120	66624	26557	22	247
GCA_020726575.1	Plecucu1	Plectosphaerella plurivora		MPI-SDFR-AT-0117					Annotation submitted by DOE Joint Genome Institute	35930556	Contig	10/29/21	JAGSXJ01	1038577								PacBio SEQUEL	DOE Joint Genome Institute	PRJNA570880	SAMN12812804	12813	12457	12	344
GCA_016946835.1	ASM1694683v1	Neocallimastix sp. JGI-2020a		sp3					Annotation submitted by DOE Joint Genome Institute	200969634	Contig	2/24/21	JACVTC01	1031807								PacBio	DOE Joint Genome Institute	PRJNA658393	SAMN15902602	29690	27675	14	2001
GCA_023758145.1	ASM2375814v1	Alternaria sp. BMP 2799		BMP 2799					Annotation submitted by Cornell University	36402624	Scaffold	6/17/22	JAFVLP01	1000369	1000369							Illumina HiSeq	Cornell University	PRJNA706766	SAMN18144519	11159	11051		108
GCA_900242695.1	Ustilago hordeaceus version 1	Ustilago sp. UG-2017b		Uhc1					Annotation submitted by Technische Universitat Munchen - WZW	21904892	Contig	9/24/21	OHJM01	989037									Technische Universitat Munchen - WZW	PRJEB19641	SAMEA104429441	7853	7616		237
GCA_021235465.1	Umbelo1	Umbelopsis sp. PMI_123		PMI_123					Annotation submitted by DOE Joint Genome Institute	24636683	Contig	12/20/21	JAJSME01	985416								PacBio	DOE Joint Genome Institute	PRJNA340475	SAMN05720797	9783	9672		111
GCA_024733475.1	NTU_Sgrande_1.0	Syzygium grande					SINGAPORE		Annotation submitted by Nanyang Technological University	405179882	Scaffold	8/22/22	JAMXDD01	982614	39560356							Oxford Nanopore PromethION; Illumina HiSeq	Nanyang Technological University	PRJNA803434	SAMN29207412	39903	39903		
GCA_022627095.1	ASM2262709v1	Fusarium sp. FIESC RH6		FIESC RH6					"Annotation submitted by Royal Botanic Gardens, Kew"	39998308	Scaffold	3/18/22	JAJALC01	979361	1715862							Illumina NovaSeq	"Royal Botanic Gardens, Kew"	PRJNA761077	SAMN21240824	11533	11533		
GCA_904063045.1	Dgyrociliatus_assembly	Dimorphilus gyrociliatus							Annotation submitted by UNIVERSITY OF BERGEN/DEPT. OF BIOLOGY	77897245	Scaffold	8/25/20	CAJFCJ01	979161	2241898								UNIVERSITY OF BERGEN/DEPT. OF BIOLOGY	PRJEB37657	SAMEA7202578	14204	14031	173	
GCA_023758005.1	ASM2375800v1	Alternaria sp. BMP 0032		BMP 0032					Annotation submitted by Cornell University	37291766	Scaffold	6/17/22	JAFVMD01	976338	976338							Illumina HiSeq	Cornell University	PRJNA706766	SAMN18144505	11103	10997		106
GCA_030247885.1	UCR_JES119	Dothideales sp. JES 119		JES_119					"Annotation submitted by University of California, Riverside"	29383553	Scaffold	6/9/23	JAPDRO01	974396	1232081							Oxford Nanopore	"University of California, Riverside"	PRJNA631111	SAMN14852394	9386	9189		197
GCA_002946415.1	ASM294641v1	Rutstroemia sp. NJR-2017a BVV2		NJR-2017a BVV2					Annotation submitted by Brigham Young University	43401613	Contig	2/26/18	NJPS01	973512								Illumina-Hiseq	Brigham Young University	PRJNA389323	SAMN07205146	11419	9320	2099	
GCA_030247845.1	UCR_JES115	Cladosporium sp. JES 115		JES_115					"Annotation submitted by University of California, Riverside"	32607911	Contig	6/9/23	JAPDRP01	966560								Oxford Nanopore	"University of California, Riverside"	PRJNA631111	SAMN14852390	9304	9226		78
GCA_947470075.1	Genome assembly Closterium sp. Yama58-4	Closterium sp. Yama58-4		NIES-4552=Yama58-4					Annotation submitted by tokyo university	437979428	Contig	6/17/23	CANIUD01	952287								"PacBio Sequel, Illumina HiSeq 3000"	tokyo university	PRJEB57781	SAMEA112166025	27822	27822		
GCA_011392555.1	CTC_F1880_1.0	Penicillium rolfsii		F1880					Annotation submitted by Embrapa Agroenergia	32363941	Scaffold	3/17/20	QMFL01	944064	3147738							Illumina Hiseq2000	Embrapa Agroenergia	PRJNA477323	SAMN09464826	9955	9955		
GCA_900323505.1	U_tricho_v1	Ustilago trichophora		NBRC100155					Annotation submitted by Technische Universitat Munchen - WZW	39002873	Contig	8/26/19	OOIN01	933033									Technische Universitat Munchen - WZW	PRJEB25596	SAMEA104712226	13508	13201		307
GCA_022963115.1	ASM2296311v1	Ustilago tritici		Ut_3					Annotation submitted by University of Cologne	20444915	Contig	4/13/22	JALCUT01	930982								PacBio Sequel	University of Cologne	PRJNA698760	SAMN26417532	6624	6624		
GCA_000835395.1	Exop_side_CBS121828_V1	Exophiala sideris		CBS 121828					Annotation submitted by Broad Institute	29505589	Scaffold	2/23/15	JYBR01	917331	7897194							Illumina	Broad Institute	PRJNA325799	SAMN03176950	10237	10191	9	37
GCA_009982855.1	Lizem1	Lizonia empirigonia		CBS 542.76					Annotation submitted by DOE Joint Genome Institute	51521545	Contig	1/29/20	JAADKA01	901519								Illumina	DOE Joint Genome Institute	PRJNA245629	SAMN02744855	12596	12467	4	125
GCA_030039245.1	MNACCFEE_5425	Naganishia vaughanmartiniae		MNA-CCFEE 5425					"Annotation submitted by Jet Propulsion Laboratory, California Institute of Technology"	23003986	Contig	5/19/23	JASBWU01	892046								Oxford Nanopore MinION	"Jet Propulsion Laboratory, California Institute of Technology"	PRJNA947659	SAMN33864271	6783	6621		162
GCA_904845305.1	CAUJ	Caenorhabditis auriculariae		NKZ352					Annotation submitted by University of Miyazaki	109583113	Scaffold	2/18/22	CAJGYM01	886554	948694								University of Miyazaki	PRJEB40642	SAMEA7375460	16279	16279		
GCA_022750525.1	ASM2275052v1	Halotydeus destructor					VIC_2020	mixed	Annotation submitted by The University of Melbourne	48901993	Contig	3/29/22	JAIUWE01	874492								PacBio	The University of Melbourne	PRJNA756307	SAMN20863738	14583	14583		
GCA_022963125.1	ASM2296312v1	Ustilago nuda		DE_29490					Annotation submitted by University of Cologne	21384534	Contig	4/13/22	JALCUS01	846041								PacBio Sequel	University of Cologne	PRJNA698760	SAMN26417533	6668	6668		
GCA_022578575.1	HyFL0543_1	Hypoxylon sp. FL0543		FL0543					Annotation submitted by DOE Joint Genome Institute	38122018	Scaffold	2/28/22	JAJKKS01	842286	1362539							Illumina	DOE Joint Genome Institute	PRJNA571063	SAMN12811579	11032	10873	5	154
GCA_022963135.1	ASM2296313v1	Ustilago loliicola		Us_530					Annotation submitted by University of Cologne	20766546	Contig	4/13/22	JALCUU01	830901								PacBio Sequel	University of Cologne	PRJNA698760	SAMN26417531	5194	5194		
GCA_011066345.1	CFAM422_1.0	Trichoderma lentiforme		CFAM-422					Annotation submitted by Embrapa Agroenergia	38315448	Scaffold	3/6/20	QLNT01	821606	1332095							Illumina HiSeq	Embrapa Agroenergia	PRJNA473534	SAMN09275776	12978	12978		
GCA_025330735.1	MorGBAus27b_1	Mortierella sp. GBAus27b		GBAus27b					Annotation submitted by DOE Joint Genome Institute	44971843	Contig	9/20/22	JALLLQ01	820600								PacBio	DOE Joint Genome Institute	PRJNA697205	SAMN17674856	14092	13923		169
GCA_017506865.1	ASM1750686v1	Tribonema minus					UTEX B ZZ1240		Annotation submitted by Sandia National Lab	158345074	Contig	3/22/21	JAFCMP01	768631								PacBio Sequel; Illumina HiSeq	Sandia National Lab	PRJNA692219	SAMN17316835	18441	18284	7	150
GCA_026023835.1	ASM2602383v1	Caeruleum heppii					JK 8506/TS-e1937		Annotation submitted by University of Alberta	20598527	Contig	11/7/22	JAPETM01	767177								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762790	6936	6896		40
GCA_025266875.1	Fenlin1	Fennellomyces sp. T-0311		T-0311					Annotation submitted by DOE Joint Genome Institute	45897337	Contig	9/19/22	JALLLT01	753873								PacBio	DOE Joint Genome Institute	PRJNA345712	SAMN05878226	14175	14104	4	67
GCA_030039255.1	MNACCFEE_5423	Naganishia friedmannii		MNA-CCFEE 5423					"Annotation submitted by Jet Propulsion Laboratory, California Institute of Technology"	23839142	Contig	5/19/23	JASBWT01	751469								Oxford Nanopore MinION	"Jet Propulsion Laboratory, California Institute of Technology"	PRJNA947659	SAMN33864270	7385	7205		180
GCA_023701735.1	ASM2370173v1	Pestalotiopsis sp. 9143b		9143b					Annotation submitted by University of Arizona	46167206	Scaffold	6/10/22	JAHZSN01	742559	817980							Illumina NextSeq; Oxford Nanopore MinION	University of Arizona	PRJNA732082	SAMN19310977	13392	13116		276
GCA_029281405.1	Mycpur1	Mycena pura		9144					Annotation submitted by DOE Joint Genome Institute	96680276	Contig	3/20/23	JARJCW01	742541								PacBio	DOE Joint Genome Institute	PRJNA585713	SAMN13170237	29039	28605	110	324
GCA_016858145.1	ASM1685814v1	Edaphochlamys debaryana		CCAP 11/70					Annotation submitted by University of Edinburgh	142143002	Contig	2/9/21	JAEHOE01	726162								PacBio Sequel	University of Edinburgh	PRJNA633871	SAMN14973064	19227	19227		
GCA_022497025.1	HyFL0890_1	Hypoxylon sp. FL0890		FL0890					Annotation submitted by DOE Joint Genome Institute	40410933	Scaffold	2/28/22	JAJKKD01	719588	834990							Illumina	DOE Joint Genome Institute	PRJNA571064	SAMN12811580	11363	11207	5	151
GCA_001644525.1	Stasp1	Stagonospora sp. SRC1lsM3a		SRC1lsM3a					Annotation submitted by DOE Joint Genome Institute	36082944	Scaffold	5/17/16	LXTA01	710791	1539438							Illumina	DOE Joint Genome Institute	PRJNA255590	SAMN02927915	14518	14425	3	90
GCA_003676015.1	ASM367601v1	Meyerozyma sp. JA9		JA9					Annotation submitted by Embrapa Agroenergia	10345630	Scaffold	10/23/18	NSDU01	709332	1257365							Illumina MiSeq; Illumina HiSeq	Embrapa Agroenergia	PRJNA385175	SAMN06883267	5016	5016		
GCA_021432605.1	ConPMI546	Coniochaeta sp. PMI_546		PMI_546					Annotation submitted by DOE Joint Genome Institute	33513814	Scaffold	12/27/21	JAJTDA01	709162	2744248							PacBio	DOE Joint Genome Institute	PRJNA234867	SAMN05660370	11575	11349	2	224
GCA_900242705.1	Ustilago diandrus version 1	Ustilago sp. UG-2017a		Udi2					Annotation submitted by Technische Universitat Munchen - WZW	28938793	Contig	9/24/21	OEYX01	701871									Technische Universitat Munchen - WZW	PRJEB19641	SAMEA104429442	9104	8855		249
GCA_002003505.1	fungal sp. No.14919_ver1.0	Xylariales sp. No.14919		No.14919					"Annotation submitted by Tsukuba Biotechnology Research Center, Astellas Pharma Inc."	48734900	Scaffold	2/4/17	BDMC01	698551	711440							Miseq; PacBio RS-II	"Tsukuba Biotechnology Research Center, Astellas Pharma Inc."	PRJDB4667	SAMD00048867	14606	14342		263
GCA_902006505.2	C_byssicola_245-78	Clonostachys byssicola							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	55062982	Scaffold	11/18/21	CABFNO02	690354	889888								SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	PRJEB32493	SAMEA5663355	18722	18488	1	233
GCA_027945245.1	F_irr_CF00143	Fusarium irregulare		CF00143					"Annotation submitted by University of California, Riverside"	38174887	Scaffold	1/24/23	JAPDHF01	690342	1635816							Illumina MiSeq	"University of California, Riverside"	PRJNA855134	SAMN30354187	12865	12532		333
GCA_022627125.1	ASM2262712v1	Fusarium chuoi		FFSC RH1					"Annotation submitted by Royal Botanic Gardens, Kew"	45424172	Scaffold	3/18/22	JAJALE01	674883	1615464							Illumina NovaSeq	"Royal Botanic Gardens, Kew"	PRJNA761077	SAMN21240728	13380	13380		
GCA_958299035.1	Cylicocyclus_nassatus_INRAE	Cylicocyclus nassatus					Nouzilly		Annotation submitted by inrae centre val de loire	514686895	Scaffold	7/13/23	CATQJL01	671872	91661033							"PACBIO_SMRT,ILLUMINA"	inrae centre val de loire	PRJEB63274	SAMEA113771049	22717	22715	2	
GCA_022432515.1	HyNC0597_1	Hypoxylon sp. NC0597		NC0597					Annotation submitted by DOE Joint Genome Institute	35918646	Contig	3/1/22	JAJKLA01	662971								PacBio	DOE Joint Genome Institute	PRJNA567090	SAMN12811594	11341	11188	2	151
GCA_022984935.1	HyNC1633_2	Hypoxylon sp. NC1633		NC1633					Annotation submitted by DOE Joint Genome Institute	40120527	Contig	4/14/22	JAJLYQ01	662074								PacBio	DOE Joint Genome Institute	PRJNA583322	SAMN13189927	11395	11290	12	93
GCA_026023565.1	ASM2602356v1	Cirrosporium novae-zelandiae					CBS125236		Annotation submitted by University of Alberta	31405350	Contig	11/7/22	JAPETS01	658914								Illumina HiSeq	University of Alberta	PRJNA833438	SAMN27762779	9762	9636		126
