a,c,d,e,f,g,k,l,m,n,q,r,s,t,v,w,y,h,i,p,GC,u,x,j,z,b
150479,34885,160069,180361,122381,137128,201635,261712,56770,167049,106896,121420,243957,158889,152817,28586,91272,58356,178945,118100,GCA_949124705.1,,,,,
150779,35059,160921,181457,123554,138169,202569,263555,57148,168394,107712,121991,246711,161272,154048,28865,92239,58735,181142,118219,GCA_947369975.1,,,,,
150779,35059,160921,181457,123554,138169,202569,263555,57148,168394,107712,121991,246711,161272,154048,28865,92239,58735,181142,118219,GCA_949124155.1,,,,,
153250,35100,162867,183140,124032,139645,204279,265205,57509,169503,108839,122598,248878,161987,155470,28996,92609,59076,181656,119852,GCA_029990745.1,,,,,
153250,35100,162867,183140,124032,139645,204279,265205,57509,169503,108839,122598,248878,161987,155470,28996,92609,59076,181656,119852,GCA_949125505.1,,,,,
153118,35311,162856,183388,124288,139624,204439,265624,57566,169758,108547,122799,248728,162791,155498,29082,92770,59239,182113,119980,GCA_947370025.1,,,,,
153118,35311,162856,183388,124288,139624,204439,265624,57566,169758,108547,122799,248728,162791,155498,29082,92770,59239,182113,119980,GCA_949124665.1,,,,,
152725,35108,162390,182463,123769,138937,203806,264394,57281,168612,108372,122221,247278,161223,155005,28998,92446,58965,181155,119393,GCA_029990705.1,,,,,
152725,35108,162390,182463,123769,138937,203806,264394,57281,168612,108372,122221,247278,161223,155005,28998,92446,58965,181155,119393,GCA_949124535.1,,,,,
153028,35115,162578,183035,123807,139355,203866,264661,57307,169056,108590,122284,248274,162461,155297,28956,92537,59016,181444,119693,GCA_947370255.1,,,,,
153028,35115,162578,183035,123807,139355,203866,264661,57307,169056,108590,122284,248274,162461,155297,28956,92537,59016,181444,119693,GCA_949124515.1,,,,,
151501,34936,161133,181382,123179,138094,202860,263397,57018,168301,108078,122075,246181,160231,153929,28586,91878,58815,180471,118535,GCA_947370435.1,,,,,
151501,34936,161133,181382,123179,138094,202860,263397,57018,168301,108078,122075,246181,160231,153929,28586,91878,58815,180471,118535,GCA_949124755.1,,,,,
149786,34449,159449,179696,121298,136135,200650,260587,56459,166365,107261,121199,243038,157720,151871,28366,90759,58266,177702,117620,GCA_949124485.1,,,,,
151116,34903,161038,181564,122679,137507,202513,263109,56925,167774,107984,121614,245878,159878,153577,28674,91727,58853,179881,118697,GCA_029990475.1,,,,,
151116,34903,161038,181564,122679,137507,202513,263109,56925,167774,107984,121614,245878,159878,153577,28674,91727,58853,179881,118697,GCA_949124865.1,,,,,
151124,34968,160837,181096,123036,137715,202476,263350,57081,167672,107637,122034,244990,159640,153835,28692,91869,58763,180070,118239,GCA_029990845.1,,,,,
151124,34968,160837,181096,123036,137715,202476,263350,57081,167672,107637,122034,244990,159640,153835,28692,91869,58763,180070,118239,GCA_949124875.1,,,,,
152613,35062,162320,182473,123701,139001,203521,264247,57245,168660,108441,122114,247903,162055,154973,28932,92460,58908,181083,119518,GCA_029990435.1,,,,,
152613,35062,162320,182473,123701,139001,203521,264247,57245,168660,108441,122114,247903,162055,154973,28932,92460,58908,181083,119518,GCA_949125275.1,,,,,
153161,35278,162704,182915,124218,139518,204227,265666,57622,169211,108683,123022,248326,161511,155519,29000,92697,59248,181820,119783,GCA_947370345.1,,,,,
153161,35278,162704,182915,124218,139518,204227,265666,57622,169211,108683,123022,248326,161511,155519,29000,92697,59248,181820,119783,GCA_949124595.1,,,,,
152435,35035,161832,182401,123480,138403,203716,264366,57327,168575,108056,122587,246764,160342,154649,28864,92150,58980,180687,119229,GCA_030036055.1,,,,,
152435,35035,161832,182401,123480,138403,203716,264366,57327,168575,108056,122587,246764,160342,154649,28864,92150,58980,180687,119229,GCA_949124255.1,,,,,
152962,35144,162412,182759,123800,139051,203836,264669,57270,169123,108491,122164,248547,162030,155232,28993,92524,58913,181320,119797,GCA_029989845.1,,,,,
152962,35144,162412,182759,123800,139051,203836,264669,57270,169123,108491,122164,248547,162030,155232,28993,92524,58913,181320,119797,GCA_949124955.1,,,,,
153250,35155,162690,183155,123963,139564,203957,265098,57400,169547,108852,122421,249250,163547,155540,29014,92643,59124,181890,120014,GCA_947370715.1,,,,,
153250,35155,162690,183155,123963,139564,203957,265098,57400,169547,108852,122421,249250,163547,155540,29014,92643,59124,181890,120014,GCA_949125475.1,,,,,
152435,35048,162032,182359,123628,138488,203698,264737,57347,169081,108511,122546,248083,161068,154755,28840,92213,59012,180940,119458,GCA_029990395.1,,,,,
152435,35048,162032,182359,123628,138488,203698,264737,57347,169081,108511,122546,248083,161068,154755,28840,92213,59012,180940,119458,GCA_949125725.1,,,,,
152607,35150,162119,182626,123858,139214,203775,264680,57320,168955,108691,122318,247880,162702,155168,28996,92574,58870,181661,119529,GCA_947369865.1,,,,,
152607,35150,162119,182626,123858,139214,203775,264680,57320,168955,108691,122318,247880,162702,155168,28996,92574,58870,181661,119529,GCA_949124725.1,,,,,
148358,34081,157930,177676,119965,135091,198488,257568,56023,164591,105826,119988,241119,156384,150213,28067,89745,57675,175730,116375,GCA_949124415.1,,,,,
152285,35017,162020,182431,123492,138867,203643,264560,57321,168743,108410,122497,246994,161458,154756,28829,92009,59050,180989,119420,GCA_947369955.1,,,,,
152285,35017,162020,182431,123492,138867,203643,264560,57321,168743,108410,122497,246994,161458,154756,28829,92009,59050,180989,119420,GCA_949124555.1,,,,,
151169,34961,161267,181288,122756,138023,202352,262441,57112,167951,107769,121516,245357,159707,153760,28728,91904,58709,179773,118646,GCA_030036415.1,,,,,
151169,34961,161267,181288,122756,138023,202352,262441,57112,167951,107769,121516,245357,159707,153760,28728,91904,58709,179773,118646,GCA_949125335.1,,,,,
153855,35519,163378,183811,124892,140036,205171,266844,57723,169750,108844,123595,249059,161909,156279,29139,92988,59572,182428,120228,GCA_947370445.1,,,,,
153855,35519,163378,183811,124892,140036,205171,266844,57723,169750,108844,123595,249059,161909,156279,29139,92988,59572,182428,120228,GCA_949124615.1,,,,,
149287,34426,159610,179571,121433,136221,200745,260168,56542,166883,106807,120917,242027,157061,151674,28366,90697,58195,177786,117236,GCA_949124625.1,,,,,
153143,35241,162666,183072,124098,139382,204334,265322,57576,169436,108801,122727,248724,161973,155768,29045,92621,59142,181799,119752,GCA_947370275.1,,,,,
153143,35241,162666,183072,124098,139382,204334,265322,57576,169436,108801,122727,248724,161973,155768,29045,92621,59142,181799,119752,GCA_949124565.1,,,,,
151792,34979,162085,182262,123551,138380,203416,264504,57294,168692,108426,122422,246166,160253,154423,28905,92190,58851,180679,119217,GCA_947369935.1,,,,,
151792,34979,162085,182262,123551,138380,203416,264504,57294,168692,108426,122422,246166,160253,154423,28905,92190,58851,180679,119217,GCA_949124105.1,,,,,
150751,34817,160379,180709,122623,137767,201843,262158,56963,166949,107391,121627,244773,159350,153341,28822,91489,58352,179325,117881,GCA_030035995.1,,,,,
150751,34817,160379,180709,122623,137767,201843,262158,56963,166949,107391,121627,244773,159350,153341,28822,91489,58352,179325,117881,GCA_949124135.1,,,,,
152429,35154,161900,182215,123541,138894,203583,264630,57335,168879,108476,122584,247711,160614,154678,28904,92143,59017,181089,119074,GCA_029991395.1,,,,,
152429,35154,161900,182215,123541,138894,203583,264630,57335,168879,108476,122584,247711,160614,154678,28904,92143,59017,181089,119074,GCA_949125665.1,,,,,
152451,35092,161921,182369,123602,139031,203571,264304,57181,169092,108280,122126,248015,162197,154804,28932,92393,58979,181392,119401,GCA_029990125.1,,,,,
152451,35092,161921,182369,123602,139031,203571,264304,57181,169092,108280,122126,248015,162197,154804,28932,92393,58979,181392,119401,GCA_949124235.1,,,,,
151533,34835,161209,181356,122869,137909,202660,263213,57034,167944,107804,121871,246564,159964,153821,28589,91667,58783,180075,118868,GCA_030036395.1,,,,,
151533,34835,161209,181356,122869,137909,202660,263213,57034,167944,107804,121871,246564,159964,153821,28589,91667,58783,180075,118868,GCA_949125415.1,,,,,
152097,35020,161713,181920,123358,138393,203202,264391,57231,168715,108401,122430,247389,160809,154456,28820,92074,59011,180949,119166,GCA_029990335.1,,,,,
152097,35020,161713,181920,123358,138393,203202,264391,57231,168715,108401,122430,247389,160809,154456,28820,92074,59011,180949,119166,GCA_949124405.1,,,,,
152359,35197,162610,183168,123914,138899,204219,264921,57444,169444,108791,122635,247953,161428,154989,29012,92609,59031,181400,119728,GCA_030036015.1,,,,,
152359,35197,162610,183168,123914,138899,204219,264921,57444,169444,108791,122635,247953,161428,154989,29012,92609,59031,181400,119728,GCA_949124075.1,,,,,
153101,35321,162571,182980,124301,139427,204472,265762,57617,169510,108684,122934,248477,161559,155433,28896,92492,59286,181800,119727,GCA_029990865.1,,,,,
153101,35321,162571,182980,124301,139427,204472,265762,57617,169510,108684,122934,248477,161559,155433,28896,92492,59286,181800,119727,GCA_949125125.1,,,,,
153521,35444,163120,183652,124663,139575,205222,266410,57818,170457,109310,123323,249053,161512,155901,29055,92908,59324,182217,119905,GCA_947370305.1,,,,,
153521,35444,163120,183652,124663,139575,205222,266410,57818,170457,109310,123323,249053,161512,155901,29055,92908,59324,182217,119905,GCA_949124315.1,,,,,
153659,35257,162975,183546,124572,139995,204725,266112,57664,169867,109072,123086,249325,161724,155993,29216,92908,59190,182263,120017,GCA_029990925.1,,,,,
153659,35257,162975,183546,124572,139995,204725,266112,57664,169867,109072,123086,249325,161724,155993,29216,92908,59190,182263,120017,GCA_949124785.1,,,,,
153407,35426,163046,183500,124529,139637,204752,266231,57725,169925,109133,123196,249281,161881,155716,29126,92980,59241,182116,120019,GCA_029990535.1,,,,,
153407,35426,163046,183500,124529,139637,204752,266231,57725,169925,109133,123196,249281,161881,155716,29126,92980,59241,182116,120019,GCA_949124765.1,,,,,
152444,35226,162472,182791,124142,139204,204107,265210,57522,169509,108597,122899,247925,161425,155157,29038,92494,59120,181571,119584,GCA_029990965.1,,,,,
152444,35226,162472,182791,124142,139204,204107,265210,57522,169509,108597,122899,247925,161425,155157,29038,92494,59120,181571,119584,GCA_949124305.1,,,,,
152369,35107,162239,182471,123519,138551,203523,264293,57350,168719,108517,122329,246927,161086,154868,28857,92366,59042,180723,119239,GCA_030036435.1,,,,,
152369,35107,162239,182471,123519,138551,203523,264293,57350,168719,108517,122329,246927,161086,154868,28857,92366,59042,180723,119239,GCA_949125345.1,,,,,
152168,35078,161876,182077,123449,138443,203460,264213,57200,168933,108292,122289,246845,160422,154281,28681,92049,58994,180848,119083,GCA_947370145.1,,,,,
152168,35078,161876,182077,123449,138443,203460,264213,57200,168933,108292,122289,246845,160422,154281,28681,92049,58994,180848,119083,GCA_949124245.1,,,,,
152257,35002,161882,182226,123231,138417,203283,263754,57007,168462,108368,121972,247064,160821,154340,28772,92059,58842,180416,119148,GCA_029990785.1,,,,,
152257,35002,161882,182226,123231,138417,203283,263754,57007,168462,108368,121972,247064,160821,154340,28772,92059,58842,180416,119148,GCA_949126015.1,,,,,
152846,35271,162837,183205,123964,138872,204235,265260,57492,169456,108750,122816,247776,161564,155301,29040,92793,59115,181354,119536,GCA_029990885.1,,,,,
152846,35271,162837,183205,123964,138872,204235,265260,57492,169456,108750,122816,247776,161564,155301,29040,92793,59115,181354,119536,GCA_949124915.1,,,,,
151982,34968,161400,181702,123097,138276,203034,263885,57155,168255,108229,122211,247150,160271,154216,28702,91844,58827,180340,118900,GCA_029991625.1,,,,,
151982,34968,161400,181702,123097,138276,203034,263885,57155,168255,108229,122211,247150,160271,154216,28702,91844,58827,180340,118900,GCA_949124365.1,,,,,
152889,35251,162731,183031,123992,139208,204245,264955,57581,169495,108830,122481,247502,160925,155014,28984,92792,59122,181451,119593,GCA_947370645.1,,,,,
152889,35251,162731,183031,123992,139208,204245,264955,57581,169495,108830,122481,247502,160925,155014,28984,92792,59122,181451,119593,GCA_949124175.1,,,,,
152607,34972,162457,182709,123667,138603,203739,264761,57324,168932,108693,122480,247973,161350,154933,28875,92329,59064,181035,119572,GCA_029990515.1,,,,,
152607,34972,162457,182709,123667,138603,203739,264761,57324,168932,108693,122480,247973,161350,154933,28875,92329,59064,181035,119572,GCA_949124325.1,,,,,
152665,35165,162549,182853,123897,138873,204091,264817,57533,169345,108598,122476,247068,160274,154863,29008,92697,58977,181286,119474,GCA_947370785.1,,,,,
152665,35165,162549,182853,123897,138873,204091,264817,57533,169345,108598,122476,247068,160274,154863,29008,92697,58977,181286,119474,GCA_949124385.1,,,,,
151527,34996,161368,181648,122887,137929,202702,263132,57204,167885,108076,121783,245235,159268,153800,28799,92088,58657,180146,118721,GCA_030035855.1,,,,,
151527,34996,161368,181648,122887,137929,202702,263132,57204,167885,108076,121783,245235,159268,153800,28799,92088,58657,180146,118721,GCA_949124165.1,,,,,
152576,35179,162377,182988,123850,139073,204372,265394,57506,169184,108603,123016,247728,161434,155013,28848,92283,59239,181394,119718,GCA_029991515.1,,,,,
152576,35179,162377,182988,123850,139073,204372,265394,57506,169184,108603,123016,247728,161434,155013,28848,92283,59239,181394,119718,GCA_949125755.1,,,,,
150681,34676,160817,180998,122449,137158,201941,262124,56695,167606,107376,121138,244799,159139,153250,28484,91369,58537,179460,118165,GCA_029990805.1,,,,,
150681,34676,160817,180998,122449,137158,201941,262124,56695,167606,107376,121138,244799,159139,153250,28484,91369,58537,179460,118165,GCA_949124285.1,,,,,
152532,35222,162688,182895,123949,138959,204156,265184,57578,169383,108744,122679,247155,161170,155056,29001,92679,59035,181330,119513,GCA_949125295.1,,,,,
151528,34965,161197,181707,122886,138095,203041,263450,57029,168424,108039,121942,246011,160313,153778,28692,91788,58703,180548,118721,GCA_029989255.1,,,,,
151528,34965,161197,181707,122886,138095,203041,263450,57029,168424,108039,121942,246011,160313,153778,28692,91788,58703,180548,118721,GCA_949124525.1,,,,,
154351,35643,163896,184671,125228,140632,206255,267920,58189,170712,109707,124257,250597,162796,156794,29330,93391,59840,183149,120958,GCA_030036035.1,,,,,
154351,35643,163896,184671,125228,140632,206255,267920,58189,170712,109707,124257,250597,162796,156794,29330,93391,59840,183149,120958,GCA_949124435.1,,,,,
145513,33445,154615,174257,118038,132502,194512,252849,55154,161271,103789,117649,234736,152987,147790,27683,87956,56336,172825,114062,GCA_030035835.1,,,,,
145513,33445,154615,174257,118038,132502,194512,252849,55154,161271,103789,117649,234736,152987,147790,27683,87956,56336,172825,114062,GCA_949124375.1,,,,,
151781,35061,161544,181936,123309,138428,203433,263984,57107,168777,108267,122180,246362,160073,154222,28754,92073,58885,180861,118985,GCA_029991145.1,,,,,
151781,35061,161544,181936,123309,138428,203433,263984,57107,168777,108267,122180,246362,160073,154222,28754,92073,58885,180861,118985,GCA_949124745.1,,,,,
151141,34682,161135,181128,122555,137515,202220,262860,56896,167925,107739,121830,246650,160083,153515,28557,91444,58592,179908,118740,GCA_947370465.1,,,,,
151141,34682,161135,181128,122555,137515,202220,262860,56896,167925,107739,121830,246650,160083,153515,28557,91444,58592,179908,118740,GCA_949124775.1,,,,,
152987,35256,162736,183222,124188,139209,204426,265532,57615,169681,108819,122790,248132,162191,155632,29015,92621,59220,181839,119858,GCA_029991315.1,,,,,
152987,35256,162736,183222,124188,139209,204426,265532,57615,169681,108819,122790,248132,162191,155632,29015,92621,59220,181839,119858,GCA_949124805.1,,,,,
158796,35682,171022,190774,126886,144391,212172,273717,59327,177093,113601,126736,257597,169145,160747,30062,96824,61857,188796,124937,GCA_002335645.1,,,,,
150272,34568,160297,180497,122039,136972,201562,261292,56525,167089,107214,121253,244339,159041,152776,28463,91211,58348,178859,117807,GCA_949122065.1,,,,,
151443,35016,161408,181591,123419,138403,202928,263429,57185,168178,107982,122021,245971,159510,154149,28818,91877,58628,180348,118648,GCA_949122135.1,,,,,
152528,35183,162277,182752,124068,138944,203946,264998,57464,169264,108905,122393,247411,161084,155360,28966,92621,59082,181538,119416,GCA_947369795.1,,,,,
152528,35183,162277,182752,124068,138944,203946,264998,57464,169264,108905,122393,247411,161084,155360,28966,92621,59082,181538,119416,GCA_949124605.1,,,,,
152315,35148,162087,182618,123946,138784,203864,264776,57411,169195,108813,122300,247116,160898,155138,28943,92510,59027,181412,119355,GCA_029991225.1,,,,,
152315,35148,162087,182618,123946,138784,203864,264776,57411,169195,108813,122300,247116,160898,155138,28943,92510,59027,181412,119355,GCA_949124475.1,,,,,
152419,35276,161994,182292,124016,139395,203697,265061,57548,168771,108393,122699,247261,161273,155105,29036,92527,59192,181634,119503,GCA_030036075.1,,,,,
152419,35276,161994,182292,124016,139395,203697,265061,57548,168771,108393,122699,247261,161273,155105,29036,92527,59192,181634,119503,GCA_949124195.1,,,,,
147983,34100,158303,177980,120115,134958,198878,257670,55922,164985,105849,119756,241374,157026,150539,28084,89859,57583,176118,116147,GCA_949123255.1,,,,,
150470,34783,160182,180229,122427,137170,201326,261546,56859,166891,107154,121282,244022,159565,153152,28719,91239,58279,179356,118021,GCA_947370695.1,,,,,
150470,34783,160182,180229,122427,137170,201326,261546,56859,166891,107154,121282,244022,159565,153152,28719,91239,58279,179356,118021,GCA_949124545.1,,,,,
150026,34503,160387,180476,121962,136564,201571,261282,56687,166849,107171,121116,243418,157936,152547,28461,91046,58150,178568,117615,GCA_949125285.1,,,,,
151423,34658,160479,180803,122137,137597,201834,262274,56724,167467,107964,121908,245799,159388,153259,28538,91406,58685,178829,118509,GCA_947370215.1,,,,,
151423,34658,160479,180803,122137,137597,201834,262274,56724,167467,107964,121908,245799,159388,153259,28538,91406,58685,178829,118509,GCA_949124815.1,,,,,
152209,35018,162215,182544,123608,138514,203784,264362,57448,168878,108416,122258,246506,159890,154565,28989,92485,58963,180836,119343,GCA_029989385.1,,,,,
152209,35018,162215,182544,123608,138514,203784,264362,57448,168878,108416,122258,246506,159890,154565,28989,92485,58963,180836,119343,GCA_949125365.1,,,,,
151869,34951,162004,182248,122948,138084,203254,263589,57148,168526,108239,121978,246698,160347,154242,28742,92009,58842,180215,118984,GCA_947370825.1,,,,,
151869,34951,162004,182248,122948,138084,203254,263589,57148,168526,108239,121978,246698,160347,154242,28742,92009,58842,180215,118984,GCA_949124215.1,,,,,
150705,34688,159989,180120,122223,137252,201083,261784,57108,166866,107481,121615,243922,158601,152974,28682,91108,58461,178912,118213,GCA_030035955.1,,,,,
150705,34688,159989,180120,122223,137252,201083,261784,57108,166866,107481,121615,243922,158601,152974,28682,91108,58461,178912,118213,GCA_949126085.1,,,,,
152904,35154,162703,182949,124030,139271,204229,265363,57455,169412,108743,122940,248086,161170,155280,29029,92583,59145,181670,119696,GCA_949124225.1,,,,,
152574,35073,162234,182413,123577,138746,203677,264565,57397,169138,108624,122474,247878,161064,154960,28863,92407,59067,181012,119496,GCA_947369765.1,,,,,
152574,35073,162234,182413,123577,138746,203677,264565,57397,169138,108624,122474,247878,161064,154960,28863,92407,59067,181012,119496,GCA_949124695.1,,,,,
149450,34551,159394,179357,121591,136379,200365,260407,56578,166150,106767,120671,242057,157140,151960,28491,90693,58026,177733,117217,GCA_949125035.1,,,,,
149432,34283,158613,178759,120893,135866,199811,259368,56505,165934,107134,120551,243576,158023,151477,28217,90451,57969,177314,117346,GCA_949124795.1,,,,,
152907,35120,162317,182720,123883,138982,203711,264845,57347,169149,108556,122348,248183,161569,155045,28950,92518,59073,181463,119541,GCA_947370365.1,,,,,
152907,35120,162317,182720,123883,138982,203711,264845,57347,169149,108556,122348,248183,161569,155045,28950,92518,59073,181463,119541,GCA_949124645.1,,,,,
149390,34397,159038,179241,121287,136069,200134,259425,56458,165853,106535,120429,242935,158394,152070,28292,90627,57927,177889,117516,GCA_030036375.1,,,,,
149390,34397,159038,179241,121287,136069,200134,259425,56458,165853,106535,120429,242935,158394,152070,28292,90627,57927,177889,117516,GCA_949125675.1,,,,,
151700,34849,161526,181554,123115,137997,202938,263467,57099,168192,108007,122132,246525,159913,153871,28710,91830,58801,180316,118989,GCA_029990645.1,,,,,
151700,34849,161526,181554,123115,137997,202938,263467,57099,168192,108007,122132,246525,159913,153871,28710,91830,58801,180316,118989,GCA_949124145.1,,,,,
153308,34526,162991,183785,122351,139005,203343,263197,56833,169347,108152,122115,246796,162271,154881,28767,91750,58409,180229,118864,GCA_932563355.1,,,,,
151400,34798,161384,181633,122712,137964,202471,262915,56907,168025,108138,121647,246731,160845,153903,28746,91777,58631,180041,118791,GCA_947370195.1,,,,,
151400,34798,161384,181633,122712,137964,202471,262915,56907,168025,108138,121647,246731,160845,153903,28746,91777,58631,180041,118791,GCA_949124635.1,,,,,
149044,34314,158917,178576,120910,136006,199336,258888,56148,165236,106377,120270,241572,157582,151628,28288,90477,57933,176777,117003,GCA_949123975.1,,,,,
129672,29662,139143,156250,105298,117602,175085,226055,48906,145460,93378,105025,211793,136811,131452,24358,78675,50495,154207,102271,GCA_030036355.2,,,,,
129672,29662,139143,156250,105298,117602,175085,226055,48906,145460,93378,105025,211793,136811,131452,24358,78675,50495,154207,102271,GCA_949123285.1,,,,,
146100,33809,155913,175450,118555,133150,195836,254096,55195,162073,104208,118028,237229,154538,148555,27734,88497,56806,173526,114481,GCA_949121775.1,,,,,
147523,33817,157534,176975,119370,133975,197836,256495,55547,164098,105363,119023,240643,155910,149816,27720,89190,57378,174984,115841,GCA_949123965.1,,,,,
152506,35043,162344,182398,123390,138784,203228,263966,57168,168518,108285,122065,247775,161377,154844,28916,92217,58885,180714,119486,GCA_947370705.1,,,,,
152506,35043,162344,182398,123390,138784,203228,263966,57168,168518,108285,122065,247775,161377,154844,28916,92217,58885,180714,119486,GCA_949124185.1,,,,,
145995,33549,156389,175828,118877,133144,196303,254655,55104,163050,104576,118298,237540,154409,148636,27682,88869,56747,174421,114825,GCA_949123955.1,,,,,
145636,33685,155662,175430,118457,133215,196193,254613,55287,161896,104282,118395,236260,153689,148267,27742,88407,56834,173945,114499,GCA_030035875.1,,,,,
145636,33685,155662,175430,118457,133215,196193,254613,55287,161896,104282,118395,236260,153689,148267,27742,88407,56834,173945,114499,GCA_949124585.1,,,,,
142474,32522,151545,170267,115027,129165,189768,246644,53470,157219,101406,114904,231153,149886,144262,26684,85453,54946,168679,111521,GCA_949123475.1,,,,,
148446,34440,157794,177567,120760,135100,198553,258110,56199,164714,105885,120044,240335,156134,150680,28161,89826,57658,176533,116536,GCA_030035915.1,,,,,
148446,34440,157794,177567,120760,135100,198553,258110,56199,164714,105885,120044,240335,156134,150680,28161,89826,57658,176533,116536,GCA_949125025.1,,,,,
147829,34036,157254,176561,120006,134678,197504,256999,55918,163633,105238,119149,239422,155795,150033,28030,89546,57173,175629,116134,GCA_030035935.1,,,,,
147829,34036,157254,176561,120006,134678,197504,256999,55918,163633,105238,119149,239422,155795,150033,28030,89546,57173,175629,116134,GCA_949124945.1,,,,,
138820,32067,148926,166972,112255,126121,186108,241369,52228,155104,99448,112013,226463,147470,141287,26072,84132,54048,164988,109249,GCA_949122415.1,,,,,
183320,42869,194866,218119,147486,166813,242855,316228,69026,203025,129886,148658,297843,198380,185389,35182,112623,71162,217166,143402,GCA_012275245.1,,,,,
150152,34624,160126,180218,121962,136964,201433,261554,56545,167058,107360,121030,244768,159155,152712,28425,91131,58362,179146,118127,GCA_949121605.1,,,,,
150570,33658,161960,181279,120569,137122,201549,260630,56193,168319,108272,120528,244910,159402,152496,28220,90889,58333,179007,118432,GCA_003046745.1,,,,,
142666,33174,151074,169948,115859,129945,190491,247652,54568,157406,101814,115681,229747,150029,144828,27278,86401,55284,169667,111930,GCA_030035895.1,,,,,
142666,33174,151074,169948,115859,129945,190491,247652,54568,157406,101814,115681,229747,150029,144828,27278,86401,55284,169667,111930,GCA_949125735.1,,,,,
140087,32008,150046,168635,113217,127270,188323,243362,52737,155957,100135,113362,227378,147465,142000,26300,84581,54295,166148,110118,GCA_949122425.1,,,,,
150196,33642,161386,180864,120510,136820,200878,259913,55982,167495,107699,120199,243695,158375,152192,28161,90415,57890,178290,117778,GCA_003046695.1,,,,,
151782,34968,161388,181578,123083,138229,202802,263411,57080,168342,108239,121682,246442,161116,154371,28824,92019,58535,180678,118826,GCA_029991455.1,,,,,
151782,34968,161388,181578,123083,138229,202802,263411,57080,168342,108239,121682,246442,161116,154371,28824,92019,58535,180678,118826,GCA_949124505.1,,,,,
148876,34273,159061,179221,120890,135531,200018,259459,56204,166063,106754,120482,242807,157418,151349,28206,90262,57905,177416,117217,GCA_949123545.1,,,,,
145318,33418,156045,175178,118327,132339,195923,254274,54815,162747,104458,117858,236759,153253,147938,27493,88187,56709,173644,114321,GCA_949121655.1,,,,,
144664,33162,154955,174215,117144,131231,194429,251994,54483,161528,103805,116736,235471,152189,146817,27253,87570,56304,172084,113797,GCA_949122005.1,,,,,
148167,33960,158533,178022,120225,134778,198936,258070,55858,165089,106059,119440,240717,156005,150602,27999,89761,57479,176619,116420,GCA_949123155.1,,,,,
134743,30961,144311,162525,109496,122878,181604,235446,51152,150372,96748,108950,218654,142154,137373,25758,81943,52502,160577,105990,GCA_949121745.1,,,,,
177708,40837,191696,214951,144322,162454,239291,308066,66714,199021,127340,143410,290481,186907,181925,33355,107422,69622,211573,139742,GCA_030036175.2,,,,,
177708,40837,191696,214951,144322,162454,239291,308066,66714,199021,127340,143410,290481,186907,181925,33355,107422,69622,211573,139742,GCA_949123715.1,,,,,
146797,33008,158768,177901,118557,134041,197798,255933,55230,164776,105936,118251,237924,153816,148988,27600,88834,56973,175005,115474,GCA_014132375.1,,,,,
136554,31504,145681,163467,111233,124225,182824,238550,51611,151928,97733,110447,221927,143690,138960,25958,82959,53251,163089,107338,GCA_949123195.1,,,,,
143870,32698,152290,171793,115319,131438,191093,247862,53926,158226,102026,115190,231819,151299,145791,27230,86708,55237,169612,111880,GCA_001983315.1,,,,,
137152,31528,146509,164169,111474,124935,183791,239378,51795,152588,98138,110889,222374,144245,139603,26002,83062,53531,163510,107924,GCA_949121915.1,,,,,
149134,33718,160895,180347,120296,136417,199598,258839,55976,166372,107076,119548,241624,157004,151569,28192,90339,57471,177309,116846,GCA_009014655.1,,3,,,
135878,31433,144064,161971,110235,123562,180670,235687,51074,150462,96764,109151,219509,142804,137958,25576,82166,52746,161292,106695,GCA_949123295.1,,,,,
165708,37530,177104,198870,133688,151237,220364,287200,62229,184203,117624,132040,267781,174591,168485,31288,100016,63546,197285,128851,GCA_026585715.1,,3,,,
163961,36965,175229,196410,132120,149250,217529,283403,61361,182149,116703,130417,265112,172847,166457,30865,98987,63032,194541,127725,GCA_026585705.1,,5,,,
148963,33728,160934,180615,120568,135885,200809,259601,56103,166807,107202,119941,241459,156330,151260,28123,90183,57751,177687,117023,GCA_014905575.1,,2,,,
150006,33658,161613,181253,120539,136978,200599,260015,56200,167901,107490,120143,243708,158040,152088,28267,90564,57824,178185,117606,GCA_030267605.1,,,,,
148952,33432,160590,180074,119902,135688,199761,258754,55840,166664,107227,119493,241877,156783,150951,27990,89869,57579,177102,117034,GCA_002804325.1,,,,,
123512,28462,130121,146208,99827,112012,163291,213232,46119,135853,87691,98965,199779,129454,125070,23392,74265,47714,145782,96875,GCA_949121635.1,,,,,
150363,33764,162115,181724,120856,137326,200919,260678,56370,167974,107718,120265,243975,158529,152622,28310,90687,57822,178549,117921,GCA_030267525.1,,,,,
147728,33183,159337,178618,118860,134521,198075,256654,55327,165290,106335,118449,239955,155555,149896,27718,89064,57097,175779,116135,GCA_003046715.1,,,,,
142126,32628,156353,176016,117562,130947,196126,253198,54249,161896,102474,116302,232999,150759,146687,27294,87491,55720,173881,112189,GCA_026954905.1,,96,,,
150982,33912,162553,182418,121178,137762,201374,261438,56620,168243,107880,120618,244739,159234,153333,28485,90961,58075,178897,118131,GCA_030267465.1,,,,,
150624,33798,162272,182343,120917,137600,201101,261191,56489,168020,107889,120428,244041,158666,153156,28340,90744,57959,178648,118208,GCA_030267645.1,,,,,
